rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1654,1737,1373,1654,0.440543,0.951905,0,1
2,1847,1921,1774,1847,0.492445,0.970022,0,1
3,2040,2111,1954,2040,0.448145,0.907829,0,1
4,2232,2329,2160,2232,0.397476,0.654933,0,1
5,2477,2549,2394,2477,0.489712,1.03129,0,1
6,2664,2735,2577,2664,0.434815,0.939805,0,1
7,2869,2959,2764,2869,0.435943,0.790844,0,1
8,3076,3156,2959,3076,0.485799,0.957031,0,1
9,3281,3365,3181,3281,0.479896,0.889614,0,1
10,3488,3562,3365,3488,0.454735,0.894826,0,1
11,3694,3767,3562,3692,0.449749,0.913619,0,1
12,3879,3954,3767,3879,0.43797,0.881863,0,1
13,-1,-1,3954,4307,0,0,0,0
