rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,970,1054,844,970,0.497252,0.970947,0,1
2,1149,1233,1054,1149,0.485055,0.989846,0,1
3,1314,1404,1233,1314,0.482458,0.893659,0,1
4,1484,1557,1404,1484,0.434318,0.896641,0,1
5,1668,1727,1557,1664,0.448381,1.19603,0,1
6,1827,1914,1727,1827,0.457003,1.08609,0,1
7,2001,2092,1921,2001,0.452229,0.86083,0,1
8,2192,2262,2097,2192,0.417306,0.94318,0,1
9,2374,2451,2262,2370,0.424758,0.818088,0,1
10,2577,2644,2451,2571,0.435559,0.960378,0,1
11,2775,2840,2644,2770,0.420086,0.982778,0,1
12,2970,3055,2840,2970,0.422316,1.07971,0,1
13,3152,3220,3061,3152,0.434016,1.13048,0,1
14,3340,3410,3246,3340,0.420383,0.93617,0,1
15,3533,3621,3410,3533,0.426885,0.988765,0,1
16,3713,3792,3626,3713,0.439277,0.970207,0,1
17,3899,3990,3792,3899,0.438706,0.957983,0,1
18,4102,4184,4004,4102,0.44897,0.899943,0,1
19,4300,4387,4214,4300,0.434018,0.858281,0,1
20,4495,4593,4405,4495,0.455478,0.760736,0,1
21,-1,-1,4593,5169,0,0,0,0
