rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,543,639,639,733,0.608071,1.16387,0,1
2,733,817,817,915,0.582177,1.00768,0,1
3,915,1008,1013,1096,0.619117,1.07463,0,1
4,1096,1179,1179,1283,0.666532,1.20358,0,1
5,1283,1383,1383,1479,0.626308,1.1971,0,1
6,1481,1554,1554,1665,0.669596,1.3166,0,1
7,1665,1769,1769,1864,0.677286,1.3386,0,1
8,1864,1943,1943,2063,0.63197,1.19117,0,1
9,2066,2160,2164,2243,0.65239,1.33719,0,1
10,2243,2341,2347,2430,0.611273,1.20895,0,1
11,2430,2503,2503,2602,0.604321,1.25277,0,1
12,2602,2679,2679,2770,0.596786,1.13556,0,1
13,2770,2885,2885,3016,0.638841,1.09451,0,1
14,3016,3117,3117,3196,0.589597,1.02583,0,1
15,3196,3331,3341,3502,0.651326,1.11661,0,1
