rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1109,1182,905,1109,0.40959,0.794169,0,1
2,1469,1544,1212,1469,0.445599,0.854626,0,1
3,1760,1822,1544,1755,0.417921,1.03472,0,1
4,1977,2029,1822,1977,0.43045,1.28576,0,1
5,2084,2137,2029,2084,0.4578,1.20362,0,1
6,2191,2242,2137,2191,0.408964,1.17676,0,1
7,2296,2348,2242,2296,0.459053,1.28704,0,1
8,2397,2445,2348,2397,0.460029,1.39609,0,1
9,2499,2552,2445,2499,0.468789,1.22775,0,1
10,2608,2665,2552,2608,0.422324,0.979368,0,1
11,2725,2778,2665,2725,0.413226,1.07182,0,1
12,2829,2880,2778,2829,0.433312,1.1022,0,1
13,2966,3065,2880,2966,0.467944,0.754514,0,1
14,3479,3541,3065,3479,0.482672,1.12978,0,1
15,3597,3649,3541,3597,0.533473,1.48371,0,1
16,3706,3761,3649,3706,0.50705,1.22768,0,1
17,3815,3873,3761,3815,0.483062,1.33721,0,1
18,4008,4065,3905,4008,0.438291,1.08537,0,1
19,4123,4183,4065,4123,0.405178,0.974296,0,1
20,4371,4432,4296,4371,0.456303,1.01983,0,1
21,4620,4693,4432,4620,0.427099,0.75346,0,1
22,4831,4901,4693,4831,0.466108,0.862177,0,1
23,5227,5316,4901,5227,0.450481,0.646747,0,1
24,5548,5624,5316,5548,0.436286,0.812928,0,1
25,5821,5893,5657,5821,0.458227,0.827152,0,1
26,6894,6916,5893,6894,0.223944,2.43064,0,0
