imu_rate_hz,imu_total,cam_trig_rate,cam_trig_total,fsync_hits,tmst_fsync_us,espnow_sent,espnow_fail
988.0,4940,62.4,312,312,103,617,0
987.8,9879,90.0,762,762,376,1234,0
988.0,14819,89.8,1211,1211,641,1852,0
987.8,19758,89.8,1660,1661,905,2469,0
987.8,24697,90.0,2110,2112,238,3087,0
