t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
0.213,0,1777461527160.513,0.000,0
0.223,1,1777461527171.679,11.165,0
0.233,2,1777461527182.847,11.168,0
0.244,3,1777461527194.016,11.169,0
0.256,4,1777461527205.187,11.171,0
0.267,5,1777461527216.362,11.174,0
0.278,6,1777461527227.486,11.125,0
0.289,7,1777461527238.608,11.122,0
0.300,8,1777461527249.728,11.120,0
0.311,9,1777461527260.844,11.116,0
0.323,10,1777461527271.957,11.113,0
0.334,11,1777461527283.067,11.111,0
0.345,12,1777461527294.175,11.107,0
0.356,13,1777461527305.279,11.104,0
0.367,14,1777461527316.381,11.102,0
0.378,15,1777461527327.458,11.078,0
0.389,16,1777461527338.535,11.076,0
0.400,17,1777461527349.611,11.076,0
0.411,18,1777461527360.686,11.074,0
0.423,19,1777461527371.759,11.073,0
0.434,20,1777461527382.832,11.073,0
0.445,21,1777461527393.903,11.071,0
0.456,22,1777461527404.973,11.070,0
0.467,23,1777461527416.043,11.070,0
0.478,24,1777461527427.125,11.082,0
0.490,25,1777461527438.207,11.082,0
0.500,26,1777461527449.289,11.082,0
0.512,27,1777461527460.370,11.081,0
0.523,28,1777461527471.450,11.080,0
0.534,29,1777461527482.531,11.081,0
0.545,30,1777461527493.610,11.079,0
0.556,31,1777461527504.689,11.079,0
0.567,32,1777461527515.769,11.080,0
0.579,33,1777461527526.856,11.087,0
0.589,34,1777461527537.943,11.087,0
0.600,35,1777461527549.030,11.087,0
0.612,36,1777461527560.118,11.088,0
0.623,37,1777461527571.205,11.087,0
0.634,38,1777461527582.291,11.087,0
0.645,39,1777461527593.378,11.087,0
0.657,40,1777461527604.465,11.086,0
0.667,41,1777461527615.551,11.086,0
0.678,42,1777461527626.644,11.093,0
0.690,43,1777461527637.736,11.092,0
0.701,44,1777461527648.827,11.092,0
0.712,45,1777461527659.920,11.093,0
0.723,46,1777461527671.012,11.092,0
0.734,47,1777461527682.103,11.092,0
0.745,48,1777461527693.196,11.093,0
0.756,49,1777461527704.287,11.092,0
0.768,50,1777461527715.379,11.091,0
0.779,51,1777461527726.476,11.097,0
0.790,52,1777461527737.572,11.096,0
0.801,53,1777461527748.668,11.096,0
0.812,54,1777461527759.765,11.097,0
0.823,55,1777461527770.861,11.096,0
0.834,56,1777461527781.957,11.096,0
0.846,57,1777461527793.054,11.097,0
0.856,58,1777461527804.150,11.096,0
0.868,59,1777461527815.245,11.096,0
0.879,60,1777461527826.346,11.101,0
0.890,61,1777461527837.447,11.100,0
0.901,62,1777461527848.547,11.100,0
0.913,63,1777461527859.648,11.101,0
0.923,64,1777461527870.748,11.100,0
0.934,65,1777461527881.848,11.100,0
0.945,66,1777461527892.949,11.101,0
0.956,67,1777461527904.049,11.100,0
0.968,68,1777461527915.149,11.100,0
0.979,69,1777461527926.253,11.104,0
0.990,70,1777461527937.356,11.103,0
1.001,71,1777461527948.459,11.103,0
1.012,72,1777461527959.563,11.104,0
1.023,73,1777461527970.666,11.103,0
1.035,74,1777461527981.769,11.103,0
1.046,75,1777461527992.872,11.103,0
1.057,76,1777461528003.976,11.104,0
1.068,77,1777461528015.079,11.103,0
1.079,78,1777461528026.185,11.106,0
1.090,79,1777461528037.292,11.107,0
1.101,80,1777461528048.397,11.106,0
1.112,81,1777461528059.503,11.106,0
1.124,82,1777461528070.610,11.107,0
1.135,83,1777461528081.716,11.106,0
1.146,84,1777461528092.822,11.106,0
1.157,85,1777461528103.929,11.107,0
1.168,86,1777461528115.035,11.106,0
1.179,87,1777461528126.143,11.108,0
1.190,88,1777461528137.252,11.109,0
1.202,89,1777461528148.361,11.108,0
1.213,90,1777461528159.469,11.108,0
1.224,91,1777461528170.579,11.109,0
1.235,92,1777461528181.687,11.108,0
1.246,93,1777461528192.795,11.108,0
1.257,94,1777461528203.905,11.109,0
1.268,95,1777461528215.013,11.108,0
1.279,96,1777461528226.124,11.111,0
1.290,97,1777461528237.235,11.112,0
1.302,98,1777461528248.346,11.111,0
1.313,99,1777461528259.457,11.111,0
1.324,100,1777461528270.568,11.112,0
1.335,101,1777461528281.679,11.111,0
1.346,102,1777461528292.790,11.111,0
1.358,103,1777461528303.901,11.112,0
1.369,104,1777461528315.012,11.111,0
1.380,105,1777461528326.124,11.112,0
1.391,106,1777461528337.238,11.114,0
1.402,107,1777461528348.350,11.112,0
1.413,108,1777461528359.462,11.112,0
1.424,109,1777461528370.575,11.113,0
1.435,110,1777461528381.688,11.112,0
1.446,111,1777461528392.800,11.112,0
1.458,112,1777461528403.914,11.114,0
1.469,113,1777461528415.026,11.112,0
1.480,114,1777461528426.140,11.114,0
1.491,115,1777461528437.254,11.114,0
1.502,116,1777461528448.369,11.115,0
1.513,117,1777461528459.483,11.114,0
1.524,118,1777461528470.597,11.114,0
1.535,119,1777461528481.712,11.115,0
1.546,120,1777461528492.826,11.114,0
1.558,121,1777461528503.940,11.114,0
1.569,122,1777461528515.055,11.115,0
1.580,123,1777461528526.169,11.114,0
1.591,124,1777461528537.283,11.114,0
1.602,125,1777461528548.398,11.115,0
1.614,126,1777461528559.512,11.114,0
1.625,127,1777461528570.626,11.114,0
1.635,128,1777461528581.741,11.115,0
1.647,129,1777461528592.855,11.114,0
1.658,130,1777461528603.969,11.114,0
1.669,131,1777461528615.084,11.115,0
1.680,132,1777461528626.198,11.114,0
1.691,133,1777461528637.312,11.114,0
1.702,134,1777461528648.427,11.115,0
1.714,135,1777461528659.541,11.114,0
1.724,136,1777461528670.655,11.114,0
1.736,137,1777461528681.770,11.115,0
1.747,138,1777461528692.884,11.114,0
1.758,139,1777461528703.998,11.114,0
1.769,140,1777461528715.113,11.115,0
1.780,141,1777461528726.226,11.114,0
1.791,142,1777461528737.340,11.114,0
1.802,143,1777461528748.455,11.115,0
1.814,144,1777461528759.569,11.114,0
1.824,145,1777461528770.683,11.114,0
1.836,146,1777461528781.798,11.115,0
1.847,147,1777461528792.912,11.114,0
1.858,148,1777461528804.026,11.114,0
1.869,149,1777461528815.141,11.115,0
1.881,150,1777461528826.255,11.114,0
1.892,151,1777461528837.369,11.114,0
1.902,152,1777461528848.484,11.115,0
1.913,153,1777461528859.598,11.114,0
1.925,154,1777461528870.712,11.114,0
1.936,155,1777461528881.826,11.114,0
1.947,156,1777461528892.941,11.115,0
1.958,157,1777461528904.055,11.114,0
1.969,158,1777461528915.168,11.114,0
1.980,159,1777461528926.283,11.115,0
1.991,160,1777461528937.397,11.114,0
2.002,161,1777461528948.511,11.114,0
2.014,162,1777461528959.626,11.115,0
2.025,163,1777461528970.740,11.114,0
2.036,164,1777461528981.854,11.114,0
2.047,165,1777461528992.969,11.115,0
2.058,166,1777461529004.083,11.114,0
2.069,167,1777461529015.197,11.114,0
2.080,168,1777461529026.312,11.115,0
2.091,169,1777461529037.426,11.114,0
2.103,170,1777461529048.540,11.114,0
2.114,171,1777461529059.655,11.115,0
2.125,172,1777461529070.769,11.114,0
2.136,173,1777461529081.882,11.114,0
2.147,174,1777461529092.997,11.115,0
2.158,175,1777461529104.111,11.114,0
2.169,176,1777461529115.225,11.114,0
2.181,177,1777461529126.340,11.115,0
2.192,178,1777461529137.454,11.114,0
2.203,179,1777461529148.568,11.114,0
2.214,180,1777461529159.683,11.115,0
2.225,181,1777461529170.797,11.114,0
2.236,182,1777461529181.911,11.114,0
2.247,183,1777461529193.025,11.115,0
2.258,184,1777461529204.139,11.114,0
2.270,185,1777461529215.253,11.114,0
2.281,186,1777461529226.368,11.115,0
2.292,187,1777461529237.482,11.114,0
2.303,188,1777461529248.596,11.114,0
2.314,189,1777461529259.711,11.115,0
2.325,190,1777461529270.825,11.114,0
2.336,191,1777461529281.938,11.114,0
2.347,192,1777461529293.053,11.115,0
2.359,193,1777461529304.167,11.114,0
2.370,194,1777461529315.281,11.114,0
2.381,195,1777461529326.395,11.114,0
2.392,196,1777461529337.510,11.115,0
2.403,197,1777461529348.624,11.114,0
2.414,198,1777461529359.738,11.114,0
2.425,199,1777461529370.853,11.115,0
2.436,200,1777461529381.966,11.114,0
2.447,201,1777461529393.080,11.114,0
2.459,202,1777461529404.195,11.115,0
2.470,203,1777461529415.311,11.116,0
2.481,204,1777461529426.439,11.127,0
2.492,205,1777461529437.567,11.129,0
2.503,206,1777461529448.695,11.127,0
2.514,207,1777461529459.823,11.128,0
2.525,208,1777461529470.951,11.128,0
2.536,209,1777461529482.078,11.127,0
2.548,210,1777461529493.206,11.127,0
2.559,211,1777461529504.334,11.128,0
2.570,212,1777461529515.461,11.127,0
2.581,213,1777461529526.589,11.127,0
2.592,214,1777461529537.717,11.128,0
2.603,215,1777461529548.844,11.127,0
2.615,216,1777461529559.972,11.127,0
2.626,217,1777461529571.100,11.128,0
2.637,218,1777461529582.227,11.127,0
2.648,219,1777461529593.354,11.127,0
2.659,220,1777461529604.482,11.128,0
2.670,221,1777461529615.610,11.127,0
2.681,222,1777461529626.737,11.127,0
2.692,223,1777461529637.865,11.128,0
2.704,224,1777461529648.992,11.127,0
2.715,225,1777461529660.119,11.127,0
2.726,226,1777461529671.247,11.128,0
2.737,227,1777461529682.374,11.127,0
2.748,228,1777461529693.500,11.127,0
2.759,229,1777461529704.628,11.128,0
2.770,230,1777461529715.755,11.127,0
2.781,231,1777461529726.882,11.127,0
2.793,232,1777461529738.010,11.128,0
2.804,233,1777461529749.137,11.127,0
2.815,234,1777461529760.263,11.127,0
2.826,235,1777461529771.390,11.127,0
