recv_pkts,recv_rate_pkt,recv_bytes,fwd_bytes,overruns
86534,95.4,17999072,17999072,0
87152,123.6,18127616,18127616,0
87769,123.4,18255952,18255952,0
88387,123.6,18384496,18384496,0
89004,123.4,18512832,18512832,0
89621,123.4,18641168,18641168,0
