rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,763,1113,1113,1202,1.32308,1.22983,0,0
2,1202,1274,1274,1361,0.579962,1.31089,0,1
3,1361,1430,1430,1517,0.53948,1.33033,0,1
4,1517,1592,1592,1669,0.54119,1.20402,0,1
5,1669,1751,1751,1825,0.526536,1.06492,0,1
6,1825,1903,1903,1979,0.525595,1.09709,0,1
7,1979,2058,2058,2137,0.538191,1.10925,0,1
8,2137,2218,2218,2288,0.546105,1.11839,0,1
9,2288,2372,2372,2448,0.55397,1.08948,0,1
10,2448,2533,2533,2608,0.567089,1.10183,0,1
11,2608,2689,2689,2765,0.573388,1.06307,0,1
12,2765,2862,2862,2939,0.587664,0.948262,0,1
13,2939,3037,3037,3129,0.550499,0.876179,0,1
14,3129,3224,3224,3314,0.553933,0.810157,0,1
15,3314,3419,3419,3506,0.520558,0.710021,0,1
16,3506,3621,3621,3708,0.542685,0.747901,0,1
17,3708,3841,3841,3932,0.572347,0.656616,0,1
18,3932,4079,4079,4178,0.554989,0.601021,0,1
19,4178,4348,4348,4453,0.584881,0.475544,0,1
20,4462,4550,4550,4823,0.276442,0.4465,0,0
