rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,522,583,583,673,0.416431,1.14559,0,1
2,673,736,736,823,0.485341,1.33093,0,1
3,823,891,891,975,0.506327,1.27871,0,1
4,975,1045,1045,1133,0.522691,1.2938,0,1
5,1133,1201,1201,1308,0.483398,1.22206,0,1
6,1311,1370,1370,1468,0.481601,1.38915,0,1
7,1468,1540,1540,1627,0.524473,1.24277,0,1
8,1627,1708,1708,1797,0.462327,1.06641,0,1
9,1797,1878,1878,1970,0.474211,1.09168,0,1
10,1970,2050,2050,2153,0.522804,1.60961,0,1
11,2160,2230,2230,2457,0.531115,1.55448,0,0
