rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,879,952,595,879,0.519832,1.06457,0,1
2,1148,1215,979,1148,0.520687,1.22408,0,1
3,1348,1419,1241,1348,0.528433,1.15304,0,1
4,1547,1618,1445,1547,0.579939,1.25914,0,1
5,1796,1858,1649,1796,0.523457,1.48636,0,1
6,2019,2085,1858,2019,0.519192,1.34852,0,1
7,2391,2460,2303,2391,0.492531,1.16756,0,1
8,2583,2658,2480,2583,0.581697,1.14974,0,1
9,2778,2856,2658,2778,0.522632,1.33685,0,1
10,3011,3089,2875,3011,0.580827,1.15582,0,1
11,3225,3296,3113,3225,0.553827,1.14286,0,1
12,-1,-1,3395,3561,0,0,0,0
