rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,878,948,948,1024,0.761908,1.65121,0,1
2,1024,1094,1094,1170,0.725322,1.52515,0,1
3,1170,1240,1240,1315,0.728488,1.52469,0,1
4,1315,1384,1384,1458,0.755801,1.60465,0,1
5,1458,1528,1528,1600,0.748683,1.52707,0,1
6,1600,1668,1668,1740,0.754863,1.55952,0,1
7,1740,1809,1809,1879,0.753643,1.57311,0,1
8,1879,1948,1948,2020,0.779843,1.60623,0,1
9,2020,2089,2089,2162,0.787033,1.67058,0,1
10,2162,2231,2231,2301,0.752068,1.50819,0,1
11,2301,2376,2376,2449,0.776294,1.36112,0,1
12,2449,2523,2523,2597,0.770671,1.36545,0,1
13,2597,2668,2668,2740,0.791792,1.62466,0,1
14,2740,2811,2811,2914,0.805503,1.63657,0,1
