rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,620,897,897,964,1.31439,1.78268,0,0
2,964,1034,1034,1104,0.439922,1.41346,0,1
3,1104,1173,1173,1259,0.506629,1.32059,0,1
4,1263,1353,1357,1438,0.616102,1.25955,0,1
5,1438,1512,1512,1599,0.730138,1.81823,0,1
6,1604,1675,1675,1751,0.708199,1.71325,0,1
7,1751,1833,1833,1931,0.623993,1.44182,0,1
8,1937,2002,2002,2116,0.745733,1.71952,0,1
9,2123,2200,2200,2330,0.774568,1.40485,0,1
10,2330,2430,2430,2519,0.671667,1.28078,0,1
11,2532,2618,2618,2811,0.779306,1.39231,0,0
