t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
0.214,0,1777461324969.792,0.000,0
0.223,1,1777461324980.958,11.165,0
0.233,2,1777461324992.126,11.168,0
0.244,3,1777461325003.295,11.169,0
0.255,4,1777461325014.466,11.171,0
0.267,5,1777461325025.573,11.108,0
0.278,6,1777461325036.679,11.106,0
0.289,7,1777461325047.785,11.106,0
0.300,8,1777461325058.891,11.106,0
0.311,9,1777461325069.996,11.105,0
0.322,10,1777461325081.101,11.104,0
0.333,11,1777461325092.206,11.105,0
0.344,12,1777461325103.309,11.104,0
0.356,13,1777461325114.412,11.103,0
0.367,14,1777461325125.517,11.104,0
0.378,15,1777461325136.619,11.103,0
0.389,16,1777461325147.721,11.102,0
0.400,17,1777461325158.824,11.103,0
0.411,18,1777461325169.925,11.101,0
0.422,19,1777461325181.025,11.100,0
0.433,20,1777461325192.125,11.101,0
0.445,21,1777461325203.224,11.099,0
0.456,22,1777461325214.322,11.098,0
0.467,23,1777461325225.425,11.103,0
0.478,24,1777461325236.526,11.101,0
0.489,25,1777461325247.626,11.101,0
0.500,26,1777461325258.727,11.101,0
0.511,27,1777461325269.826,11.099,0
0.523,28,1777461325280.925,11.099,0
0.534,29,1777461325292.023,11.099,0
0.545,30,1777461325303.121,11.097,0
0.556,31,1777461325314.217,11.097,0
0.567,32,1777461325325.319,11.102,0
0.578,33,1777461325336.419,11.100,0
0.589,34,1777461325347.519,11.100,0
0.600,35,1777461325358.618,11.099,0
0.611,36,1777461325369.718,11.100,0
0.623,37,1777461325380.815,11.098,0
0.634,38,1777461325391.913,11.097,0
0.645,39,1777461325403.011,11.098,0
0.656,40,1777461325414.107,11.096,0
0.667,41,1777461325425.208,11.101,0
0.678,42,1777461325436.309,11.101,0
0.690,43,1777461325447.409,11.100,0
0.700,44,1777461325458.509,11.099,0
0.712,45,1777461325469.609,11.100,0
0.723,46,1777461325480.708,11.099,0
0.734,47,1777461325491.805,11.098,0
0.745,48,1777461325502.904,11.099,0
0.756,49,1777461325514.001,11.097,0
0.767,50,1777461325525.103,11.102,0
0.778,51,1777461325536.205,11.102,0
0.790,52,1777461325547.306,11.101,0
0.801,53,1777461325558.406,11.101,0
0.812,54,1777461325569.508,11.101,0
0.823,55,1777461325580.607,11.100,0
0.834,56,1777461325591.707,11.099,0
0.845,57,1777461325602.806,11.100,0
0.856,58,1777461325613.905,11.098,0
0.867,59,1777461325625.008,11.103,0
0.879,60,1777461325636.111,11.104,0
0.890,61,1777461325647.213,11.102,0
0.901,62,1777461325658.315,11.102,0
0.912,63,1777461325669.417,11.103,0
0.923,64,1777461325680.519,11.101,0
0.934,65,1777461325691.619,11.101,0
0.945,66,1777461325702.721,11.102,0
0.956,67,1777461325713.821,11.100,0
0.968,68,1777461325724.925,11.104,0
0.979,69,1777461325736.030,11.105,0
0.990,70,1777461325747.133,11.104,0
1.001,71,1777461325758.236,11.103,0
1.012,72,1777461325769.340,11.104,0
1.023,73,1777461325780.443,11.103,0
1.035,74,1777461325791.545,11.102,0
1.045,75,1777461325802.647,11.102,0
1.057,76,1777461325813.750,11.103,0
1.068,77,1777461325824.855,11.104,0
1.079,78,1777461325835.959,11.104,0
1.090,79,1777461325847.064,11.105,0
1.101,80,1777461325858.168,11.104,0
1.112,81,1777461325869.272,11.104,0
1.123,82,1777461325880.376,11.104,0
1.135,83,1777461325891.479,11.103,0
1.146,84,1777461325902.583,11.103,0
1.157,85,1777461325913.686,11.104,0
1.168,86,1777461325924.792,11.106,0
1.179,87,1777461325935.898,11.106,0
1.190,88,1777461325947.005,11.107,0
1.201,89,1777461325958.110,11.105,0
1.212,90,1777461325969.216,11.105,0
1.224,91,1777461325980.322,11.106,0
1.235,92,1777461325991.427,11.105,0
1.246,93,1777461326002.531,11.105,0
1.257,94,1777461326013.637,11.106,0
1.268,95,1777461326024.744,11.107,0
1.279,96,1777461326035.852,11.107,0
1.290,97,1777461326046.959,11.108,0
1.301,98,1777461326058.066,11.107,0
1.312,99,1777461326069.173,11.106,0
1.324,100,1777461326080.280,11.107,0
1.335,101,1777461326091.386,11.106,0
1.346,102,1777461326102.492,11.106,0
1.357,103,1777461326113.599,11.107,0
1.368,104,1777461326124.708,11.109,0
1.379,105,1777461326135.816,11.108,0
1.390,106,1777461326146.925,11.109,0
1.401,107,1777461326158.033,11.108,0
1.413,108,1777461326169.141,11.108,0
1.424,109,1777461326180.250,11.109,0
1.435,110,1777461326191.358,11.108,0
1.446,111,1777461326202.466,11.108,0
1.457,112,1777461326213.574,11.108,0
1.469,113,1777461326224.684,11.110,0
1.479,114,1777461326235.793,11.110,0
1.491,115,1777461326246.903,11.110,0
1.502,116,1777461326258.013,11.110,0
1.513,117,1777461326269.123,11.109,0
1.524,118,1777461326280.232,11.109,0
1.535,119,1777461326291.342,11.110,0
1.546,120,1777461326302.451,11.109,0
1.557,121,1777461326313.560,11.109,0
1.568,122,1777461326324.670,11.110,0
1.580,123,1777461326335.778,11.109,0
1.591,124,1777461326346.887,11.109,0
1.602,125,1777461326357.996,11.109,0
1.613,126,1777461326369.104,11.108,0
1.624,127,1777461326380.213,11.108,0
1.635,128,1777461326391.322,11.109,0
1.646,129,1777461326402.429,11.108,0
1.657,130,1777461326413.537,11.108,0
1.668,131,1777461326424.646,11.109,0
1.680,132,1777461326435.753,11.107,0
1.691,133,1777461326446.861,11.107,0
1.702,134,1777461326457.969,11.108,0
1.713,135,1777461326469.076,11.107,0
1.724,136,1777461326480.183,11.107,0
1.735,137,1777461326491.291,11.108,0
1.747,138,1777461326502.398,11.107,0
1.758,139,1777461326513.505,11.107,0
1.768,140,1777461326524.612,11.107,0
1.780,141,1777461326535.719,11.106,0
1.792,142,1777461326546.825,11.106,0
1.802,143,1777461326557.932,11.107,0
1.813,144,1777461326569.038,11.106,0
1.825,145,1777461326580.144,11.106,0
1.836,146,1777461326591.251,11.107,0
1.847,147,1777461326602.356,11.106,0
1.858,148,1777461326613.462,11.105,0
1.869,149,1777461326624.568,11.106,0
1.880,150,1777461326635.674,11.105,0
1.891,151,1777461326646.779,11.105,0
1.902,152,1777461326657.885,11.106,0
1.913,153,1777461326668.990,11.105,0
1.924,154,1777461326680.095,11.105,0
1.936,155,1777461326691.199,11.105,0
1.947,156,1777461326702.305,11.105,0
1.958,157,1777461326713.409,11.104,0
1.969,158,1777461326724.514,11.104,0
1.980,159,1777461326735.619,11.105,0
1.991,160,1777461326746.723,11.104,0
2.002,161,1777461326757.827,11.104,0
2.013,162,1777461326768.932,11.105,0
2.024,163,1777461326780.036,11.104,0
2.036,164,1777461326791.139,11.104,0
2.047,165,1777461326802.244,11.104,0
2.058,166,1777461326813.347,11.103,0
2.069,167,1777461326824.450,11.103,0
2.080,168,1777461326835.554,11.104,0
2.091,169,1777461326846.657,11.103,0
2.102,170,1777461326857.760,11.103,0
2.114,171,1777461326868.864,11.104,0
2.125,172,1777461326879.967,11.103,0
2.136,173,1777461326891.069,11.103,0
2.147,174,1777461326902.172,11.103,0
2.158,175,1777461326913.275,11.102,0
2.169,176,1777461326924.377,11.102,0
2.180,177,1777461326935.480,11.103,0
2.191,178,1777461326946.582,11.102,0
2.203,179,1777461326957.683,11.102,0
2.214,180,1777461326968.786,11.103,0
2.226,181,1777461326979.887,11.101,0
2.237,182,1777461326990.989,11.102,0
2.247,183,1777461327002.091,11.102,0
2.258,184,1777461327013.192,11.101,0
2.269,185,1777461327024.293,11.101,0
2.280,186,1777461327035.395,11.102,0
2.292,187,1777461327046.496,11.101,0
2.303,188,1777461327057.597,11.101,0
2.314,189,1777461327068.698,11.102,0
2.325,190,1777461327079.799,11.101,0
2.337,191,1777461327090.899,11.100,0
