imu_rate_hz,imu_total,cam_trig_rate,cam_trig_total,fsync_hits,tmst_fsync_us,espnow_sent,espnow_fail
988.0,4940,62.4,312,312,834,617,0
987.8,9879,89.8,761,762,202,1234,0
988.0,14819,90.0,1211,1212,473,1852,0
987.8,19758,89.8,1660,1661,737,2469,0
987.8,24697,89.8,2109,2111,62,3087,0
