rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,799,978,981,1128,0.691405,1.06473,0,1
2,1128,1282,1286,1395,0.668078,0.97189,0,1
3,1395,1521,1528,1638,0.702958,1.14565,0,1
4,1638,1773,1776,1889,0.672832,1.13172,0,1
5,1889,1996,2026,2125,0.672926,1.15483,0,1
6,2125,2250,2256,2355,0.67424,1.24288,0,1
7,2355,2487,2492,2587,0.697525,1.21755,0,1
8,2587,2697,2725,2831,0.677895,1.26707,0,1
9,2831,2961,2966,3055,0.689379,1.28976,0,1
10,3055,3159,3159,3296,0.67533,1.2166,0,1
11,3296,3419,3424,3515,0.678865,1.58304,0,1
12,3515,3616,3616,3762,0.593637,1.21466,0,1
