timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777900590.100074,-0.216852,0.199963,2.742000,387.734863,272.914764,0.437304,2.822718,0.452124,depth,1
1777900590.111202,-0.215003,0.200114,2.725000,387.814606,273.134827,0.425236,2.415397,0.442319,depth,1
1777900590.122330,-0.215412,0.199648,2.725000,387.750000,273.061096,0.427352,2.421808,0.447289,depth,1
1777900590.133457,-0.215181,0.199794,2.725000,387.786530,273.084259,0.425516,2.429436,0.442319,depth,1
1777900590.144584,-0.214560,0.199377,2.714000,387.747192,273.146057,0.425026,2.404906,0.442319,depth,1
1777900590.155712,-0.215466,0.200061,2.725000,387.741394,273.126434,0.421161,2.410468,0.432379,depth,1
1777900590.166840,-0.214550,0.199608,2.709000,387.685822,273.241394,0.426952,2.407885,0.446986,depth,1
1777900590.177967,-0.216102,0.200996,2.731000,387.715912,273.204559,0.423426,2.424302,0.437349,depth,1
1777900590.189095,-0.217163,0.202040,2.742000,387.685822,273.241394,0.427042,2.412357,0.446986,depth,1
1777900590.200222,-0.216972,0.201805,2.742000,387.715912,273.204559,0.422941,2.400056,0.437349,depth,1
1777900590.211350,-0.215268,0.199764,2.725000,387.772736,273.079559,0.423843,2.445179,0.437349,depth,1
1777900590.222478,-0.216972,0.201805,2.742000,387.715912,273.204559,0.423429,2.424475,0.437349,depth,1
1777900590.233605,-0.216810,0.201309,2.742000,387.741394,273.126434,0.421472,2.426018,0.432379,depth,1
1777900590.244732,-0.216001,0.199773,2.731000,387.731812,273.011505,0.435235,2.822043,0.446986,depth,1
1777900590.255861,-0.216018,0.201571,2.731000,387.729156,273.295441,0.429268,2.420945,0.452124,depth,1
1777900590.266988,-0.215627,0.200554,2.725000,387.715912,273.204559,0.423009,2.403442,0.437349,depth,1
1777900590.278115,-0.215166,0.200596,2.725000,387.788879,273.211121,0.427295,2.418990,0.447289,depth,1
1777900590.289243,-0.215543,0.201128,2.725000,387.729156,273.295441,0.429166,2.415816,0.452124,depth,1
1777900590.300370,-0.215817,0.200787,2.725000,387.685822,273.241394,0.427082,2.414359,0.446986,depth,1
1777900590.311497,-0.215817,0.200787,2.725000,387.685822,273.241394,0.427170,2.418805,0.446986,depth,1
1777900590.322626,-0.214361,0.199377,2.709000,387.715912,273.204559,0.423104,2.408223,0.437349,depth,1
1777900590.333753,-0.215904,0.200697,2.731000,387.747192,273.157318,0.425330,2.420127,0.442319,depth,1
1777900590.344880,-0.216131,0.200731,2.731000,387.711243,273.162781,0.424985,2.412265,0.441848,depth,1
1777900590.356009,-0.215429,0.200256,2.725000,387.747192,273.157318,0.425223,2.414788,0.442319,depth,1
1777900590.367136,-0.214816,0.199030,2.714000,387.706451,273.090912,0.437049,2.809996,0.452124,depth,1
1777900590.378263,-0.215018,0.199325,2.714000,387.674316,273.137939,0.435271,2.823834,0.446986,depth,1
1777900590.389391,-0.216085,0.200364,2.725000,387.643402,273.174408,0.438960,2.807365,0.457031,depth,1
1777900590.400519,-0.215381,0.200642,2.725000,387.754791,273.218384,0.427077,2.414115,0.446986,depth,1
1777900590.411646,-0.214757,0.199745,2.714000,387.715912,273.204559,0.423490,2.427498,0.437349,depth,1
1777900590.422774,-0.216292,0.201229,2.731000,387.685822,273.241394,0.427149,2.417712,0.446986,depth,1
1777900590.433901,-0.216102,0.200996,2.731000,387.715912,273.204559,0.423261,2.416045,0.437349,depth,1
1777900590.445028,-0.215018,0.199325,2.714000,387.674316,273.137939,0.434697,2.795133,0.446986,depth,1
1777900590.456157,-0.215358,0.200895,2.725000,387.758423,273.258423,0.425466,2.426944,0.442319,depth,1
1777900590.467284,-0.216292,0.201229,2.731000,387.685822,273.241394,0.426553,2.387916,0.446986,depth,1
1777900590.478411,-0.215926,0.199856,2.725000,387.668640,273.094116,0.436576,2.794455,0.451717,depth,1
1777900590.489539,-0.215856,0.201083,2.731000,387.754791,273.218384,0.426752,2.397905,0.446986,depth,1
1777900590.500667,-0.214757,0.199745,2.714000,387.715912,273.204559,0.422703,2.388171,0.437349,depth,1
1777900590.511794,-0.217176,0.202590,2.748000,387.758423,273.258423,0.425318,2.419520,0.442319,depth,1
1777900590.522922,-0.216018,0.201571,2.731000,387.729156,273.295441,0.428998,2.407411,0.452124,depth,1
1777900590.534049,-0.216561,0.200805,2.731000,387.643402,273.174408,0.438463,2.782531,0.457031,depth,1
1777900590.545176,-0.215817,0.200787,2.725000,387.685822,273.241394,0.426781,2.399352,0.446986,depth,1
1777900590.556303,-0.217433,0.201614,2.742000,387.643402,273.174408,0.438745,2.796637,0.457031,depth,1
1777900590.567431,-0.214361,0.199377,2.709000,387.715912,273.204559,0.423017,2.403888,0.437349,depth,1
1777900590.578558,-0.215018,0.199325,2.714000,387.674316,273.137939,0.434459,2.783221,0.446986,depth,1
1777900590.589685,-0.216365,0.200574,2.731000,387.674316,273.137939,0.434992,2.809862,0.446986,depth,1
1777900590.600814,-0.216102,0.200996,2.731000,387.715912,273.204559,0.422793,2.392677,0.437349,depth,1
1777900590.611941,-0.216561,0.200805,2.731000,387.643402,273.174408,0.438584,2.788575,0.457031,depth,1
1777900590.623068,-0.216018,0.201571,2.731000,387.729156,273.295441,0.429141,2.414561,0.452124,depth,1
1777900590.634196,-0.213411,0.198422,2.697000,387.715912,273.193176,0.423125,2.409270,0.437349,depth,1
1777900590.645323,-0.217433,0.201614,2.742000,387.643402,273.174408,0.438546,2.786650,0.457031,depth,1
1777900590.656450,-0.215627,0.200554,2.725000,387.715912,273.204559,0.423136,2.409793,0.437349,depth,1
1777900590.667578,-0.217433,0.201614,2.742000,387.643402,273.174408,0.438783,2.798506,0.457031,depth,1
1777900590.678705,-0.215890,0.200133,2.725000,387.674316,273.137939,0.434095,2.765036,0.446986,depth,1
1777900590.689832,-0.216561,0.200805,2.731000,387.643402,273.174408,0.438760,2.797356,0.457031,depth,1
1777900590.700961,-0.215466,0.200061,2.725000,387.741394,273.126434,0.421175,2.411191,0.432379,depth,1
1777900590.712088,-0.216085,0.200364,2.725000,387.643402,273.174408,0.438421,2.780416,0.457031,depth,1
1777900590.723215,-0.215389,0.200381,2.714000,387.615387,273.305725,0.439841,2.790506,0.460078,depth,1
