timestamp_s,depth_m,pixel_u,pixel_v
1777900590.100074,2.742000,387.734863,272.914764
1777900590.111202,2.725000,387.814606,273.134827
1777900590.122330,2.725000,387.750000,273.061096
1777900590.133457,2.725000,387.786530,273.084259
1777900590.144584,2.714000,387.747192,273.146057
1777900590.155712,2.725000,387.741394,273.126434
1777900590.166840,2.709000,387.685822,273.241394
1777900590.177967,2.731000,387.715912,273.204559
1777900590.189095,2.742000,387.685822,273.241394
1777900590.200222,2.742000,387.715912,273.204559
1777900590.211350,2.725000,387.772736,273.079559
1777900590.222478,2.742000,387.715912,273.204559
1777900590.233605,2.742000,387.741394,273.126434
1777900590.244732,2.731000,387.731812,273.011505
1777900590.255861,2.731000,387.729156,273.295441
1777900590.266988,2.725000,387.715912,273.204559
1777900590.278115,2.725000,387.788879,273.211121
1777900590.289243,2.725000,387.729156,273.295441
1777900590.300370,2.725000,387.685822,273.241394
1777900590.311497,2.725000,387.685822,273.241394
1777900590.322626,2.709000,387.715912,273.204559
1777900590.333753,2.731000,387.747192,273.157318
1777900590.344880,2.731000,387.711243,273.162781
1777900590.356009,2.725000,387.747192,273.157318
1777900590.367136,2.714000,387.706451,273.090912
1777900590.378263,2.714000,387.674316,273.137939
1777900590.389391,2.725000,387.643402,273.174408
1777900590.400519,2.725000,387.754791,273.218384
1777900590.411646,2.714000,387.715912,273.204559
1777900590.422774,2.731000,387.685822,273.241394
1777900590.433901,2.731000,387.715912,273.204559
1777900590.445028,2.714000,387.674316,273.137939
1777900590.456157,2.725000,387.758423,273.258423
1777900590.467284,2.731000,387.685822,273.241394
1777900590.478411,2.725000,387.668640,273.094116
1777900590.489539,2.731000,387.754791,273.218384
1777900590.500667,2.714000,387.715912,273.204559
1777900590.511794,2.748000,387.758423,273.258423
1777900590.522922,2.731000,387.729156,273.295441
1777900590.534049,2.731000,387.643402,273.174408
1777900590.545176,2.725000,387.685822,273.241394
1777900590.556303,2.742000,387.643402,273.174408
1777900590.567431,2.709000,387.715912,273.204559
1777900590.578558,2.714000,387.674316,273.137939
1777900590.589685,2.731000,387.674316,273.137939
1777900590.600814,2.731000,387.715912,273.204559
1777900590.611941,2.731000,387.643402,273.174408
1777900590.623068,2.731000,387.729156,273.295441
1777900590.634196,2.697000,387.715912,273.193176
1777900590.645323,2.742000,387.643402,273.174408
1777900590.656450,2.725000,387.715912,273.204559
1777900590.667578,2.742000,387.643402,273.174408
1777900590.678705,2.725000,387.674316,273.137939
1777900590.689832,2.731000,387.643402,273.174408
1777900590.700961,2.725000,387.741394,273.126434
1777900590.712088,2.725000,387.643402,273.174408
1777900590.723215,2.714000,387.615387,273.305725
1777900590.734343,2.731000,387.647186,273.267059
1777900590.745470,2.709000,387.643402,273.174408
1777900590.756597,2.714000,387.715912,273.204559
1777900590.767725,2.709000,387.685822,273.241394
1777900590.778852,2.748000,387.643402,273.174408
1777900590.789980,2.748000,387.643402,273.174408
1777900590.801108,2.709000,387.643402,273.174408
1777900590.812235,2.731000,387.685822,273.241394
1777900590.823362,2.725000,387.615387,273.305725
1777900590.834490,2.731000,387.703278,273.425812
1777900590.845617,2.725000,387.643402,273.174408
1777900590.856744,2.725000,387.643402,273.174408
1777900590.867872,2.742000,387.615387,273.305725
1777900590.878999,2.725000,387.658875,273.372314
1777900590.890127,2.731000,387.658875,273.372314
1777900590.901255,2.697000,387.658875,273.372314
1777900590.912382,2.714000,387.643402,273.174408
1777900590.923509,2.714000,387.658875,273.372314
1777900590.934637,2.714000,387.642426,273.517181
1777900590.945764,2.725000,387.642426,273.517181
1777900590.956891,2.742000,387.686615,273.582825
1777900590.968019,2.725000,387.686615,273.582825
1777900590.979146,2.725000,387.617584,273.400818
1777900590.990274,2.731000,387.674652,273.475037
1777900591.001401,2.725000,387.642426,273.517181
1777900591.012529,2.748000,387.642426,273.517181
1777900591.023656,2.709000,387.686615,273.582825
1777900591.034783,2.742000,387.646698,273.624756
1777900591.045911,2.754000,387.686615,273.582825
1777900591.057038,2.725000,387.642426,273.517181
1777900591.068166,2.731000,387.634735,273.411163
1777900591.079293,2.714000,387.615387,273.305725
1777900591.090421,2.731000,387.658875,273.372314
1777900591.101548,2.742000,387.658875,273.372314
1777900591.112676,2.714000,387.658875,273.372314
1777900591.123803,2.714000,387.643402,273.174408
1777900591.134930,2.742000,387.685822,273.241394
1777900591.146058,2.709000,387.643402,273.174408
1777900591.157185,2.731000,387.668640,273.094116
1777900591.168313,2.725000,387.618774,273.229889
1777900591.179441,2.714000,387.715912,273.193176
1777900591.190568,2.731000,387.757568,273.119324
1777900591.201695,2.709000,387.786530,273.084259
1777900591.212823,2.731000,387.757568,273.119324
1777900591.223950,2.731000,387.719116,273.073029
1777900591.235077,2.714000,387.703064,272.948273
1777900591.246205,2.748000,387.757568,273.119324
1777900591.257332,2.714000,387.719116,273.106750
1777900591.268460,2.709000,387.795013,273.143677
1777900591.279588,2.709000,387.755676,273.096588
1777900591.290715,2.709000,387.853943,273.061798
1777900591.301842,2.714000,387.812866,273.001953
1777900591.312970,2.742000,387.872375,272.921906
1777900591.324097,2.725000,387.775269,272.971924
1777900591.335224,2.725000,387.812866,273.001953
1777900591.346352,2.714000,387.684113,273.098846
1777900591.357479,2.714000,387.672485,272.994171
1777900591.368606,2.714000,387.795013,273.143677
