rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,168,304,304,351,0.764058,1.05263,0,0
2,351,413,413,464,0.22018,0.580734,0,1
3,464,523,523,574,0.222117,0.536113,0,1
4,574,640,640,690,0.298526,0.753144,0,1
5,690,756,756,814,0.336886,0.645361,0,1
6,814,877,877,926,0.276091,0.593958,0,1
7,926,996,996,1042,0.311377,0.76746,0,1
8,1042,1117,1117,1165,0.298172,0.654251,0,1
9,1165,1229,1229,1278,0.259888,0.742424,0,1
10,1278,1345,1345,1397,0.250001,0.799112,0,1
11,1397,1459,1459,1511,0.27428,0.634305,0,1
12,1511,1577,1577,1630,0.274929,0.628367,0,1
13,1630,1699,1699,1752,0.25554,0.616836,0,1
14,1752,1816,1816,1878,0.276678,0.629432,0,1
15,1878,1941,1941,1996,0.260121,0.600024,0,1
16,1996,2062,2062,2119,0.276064,0.614884,0,1
17,2119,2187,2187,2239,0.287698,0.540428,0,1
18,2239,2302,2302,2364,0.23519,0.690612,0,1
19,2364,2433,2433,2491,0.237126,0.627754,0,1
20,2491,2560,2560,2617,0.193917,0.450936,0,1
21,2617,2689,2689,2833,0.273704,0.506321,0,0
