rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1461,1518,1182,1461,0.377205,1.02956,0,1
2,1683,1748,1558,1683,0.473945,1.12021,0,1
3,1827,1890,1748,1827,0.506619,1.16402,0,1
4,1958,2021,1890,1958,0.521926,1.14177,0,1
5,2088,2150,2021,2088,0.548794,1.19927,0,1
6,2221,2285,2150,2221,0.51856,1.12393,0,1
7,2477,2549,2285,2477,0.456539,0.870505,0,1
8,2688,2763,2581,2688,0.491126,0.913428,0,1
9,3015,3091,2763,3015,0.467511,0.869263,0,1
10,3176,3244,3091,3176,0.496427,0.944769,0,1
11,3322,3393,3244,3322,0.502145,0.935637,0,1
12,3544,3624,3393,3544,0.507041,0.800259,0,1
13,3760,3838,3624,3760,0.463343,0.731619,0,1
14,4086,4162,3838,4086,0.43524,0.841343,0,1
15,4291,4369,4162,4291,0.463391,0.746124,0,1
16,4556,4640,4408,4556,0.44698,0.696778,0,1
17,-1,-1,4640,5073,0,0,0,0
