# real-time (causal) annotation produced during acquisition
# exercise=bench_press rom_prior_m=0.45 down_first=1
# gap_frames counts the frames of the rep on which the marker was NOT seen. A missing measurement is never interpolated or extrapolated: no boundary, rest or statistic in this file is derived from an unseen frame.
# confirmed=1 means the rep's cycle CLOSED (the bar returned to the level it started from). Provisional reps (confirmed=0) completed a concentric but never returned - typically an unrack/rack/pickup.
# down_first=1 means a rep of this exercise STARTS with the eccentric (bench, squat), so the phases run eccentric -> bottom_rest -> concentric. down_first=0 runs concentric -> top_rest -> eccentric. The bit moves only where the rep boundary is drawn.
rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,top_rest_start_frame,top_rest_end_frame,bottom_rest_start_frame,bottom_rest_end_frame,rom_m,peak_velocity,mean_velocity,confirmed,dropped_eccentric,tracking_gap,gap_frames
1,1455,1511,1181,1455,-1,-1,-1,-1,0.373852,1.06432,0.656882,1,0,0,0
2,1674,1739,1552,1674,-1,-1,-1,-1,0.468728,1.11093,0.708927,1,0,0,0
3,1817,1879,1739,1817,-1,-1,-1,-1,0.503105,1.12171,0.774288,1,0,0,0
4,1949,2010,1879,1949,-1,-1,-1,-1,0.519157,1.12964,0.823237,1,0,0,0
5,2078,2139,2010,2078,-1,-1,-1,-1,0.55418,1.22589,0.877866,1,0,0,0
6,2209,2271,2139,2209,-1,-1,-1,-1,0.521783,1.16186,0.810761,1,0,0,0
7,2462,2534,2271,2462,-1,-1,-1,-1,0.457831,0.855946,0.58782,1,0,0,0
8,2672,2746,2566,2672,-1,-1,-1,-1,0.488111,0.921649,0.602918,1,0,0,0
9,2994,3069,2746,2994,-1,-1,-1,-1,0.467113,0.861626,0.593945,1,0,0,0
10,3157,3224,3069,3157,-1,-1,-1,-1,0.497075,0.95235,0.702759,1,0,0,0
11,3302,3373,3224,3302,-1,-1,-1,-1,0.502165,0.932734,0.679628,1,0,0,0
12,3522,3601,3373,3522,-1,-1,-1,-1,0.503602,0.812646,0.605521,1,0,0,0
13,3735,3814,3601,3735,-1,-1,-1,-1,0.467687,0.7232,0.567234,1,0,0,0
14,4062,4135,3814,4062,-1,-1,-1,-1,0.433464,0.816797,0.54815,1,0,0,0
15,4264,4343,4135,4264,-1,-1,-1,-1,0.458574,0.765203,0.547217,1,0,0,0
16,4528,4612,4378,4528,-1,-1,-1,-1,0.441909,0.79725,0.49606,1,0,0,0
17,-1,-1,4612,5043,-1,-1,-1,-1,0,0,0,0,0,0,0
