rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,513,588,588,659,0.471817,1.18532,0,1
2,659,729,729,803,0.47443,1.26123,0,1
3,803,868,868,940,0.513679,1.37637,0,1
4,940,1007,1007,1079,0.503968,1.38627,0,1
5,1079,1140,1140,1214,0.498986,1.45062,0,1
6,1214,1279,1279,1356,0.480788,1.42094,0,1
7,1356,1421,1421,1497,0.471069,1.446,0,1
8,1497,1562,1562,1638,0.479231,1.40008,0,1
9,1638,1700,1700,1767,0.454033,1.39999,0,1
10,1767,1838,1838,1913,0.502595,1.52472,0,1
11,1913,1975,1975,2043,0.472886,1.45408,0,1
12,2043,2121,2121,2198,0.516678,1.45218,0,1
13,2198,2267,2267,2338,0.475692,1.41362,0,1
14,2338,2417,2417,2717,0.527906,1.42783,0,0
