frame_idx,t_s,measured,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,pos_sd_x,pos_sd_y,pos_sd_z,vel_sd_x,vel_sd_y,vel_sd_z,acc_sd_x,acc_sd_y,acc_sd_z,jerk_sd_x,jerk_sd_y,jerk_sd_z
0,0.000000000,1,0.223258495,-0.265434302,2.425797981,-0.021219308,0.012532799,0.019468441,0.220000448,-0.259961774,0.068364169,1.316062025,1.698336735,-1.619796352,0.000525524,0.001434948,0.007843179,0.022300156,0.045165711,0.148379187,0.594617616,0.902467311,1.815896163,9.960180899,11.417992499,14.283280452
1,0.011127764,1,0.223036295,-0.265310545,2.426018482,-0.018689690,0.009745197,0.020128857,0.234649586,-0.241051640,0.050329238,1.315894155,1.700535686,-1.621657198,0.000389080,0.001123131,0.006688607,0.016819732,0.036632752,0.130744724,0.505250576,0.799187073,1.686145504,9.396619569,10.933122567,13.905170992
2,0.022255528,1,0.222843150,-0.265216636,2.426245214,-0.015997326,0.007168190,0.020588464,0.249213793,-0.222107343,0.032272178,1.295248219,1.704990970,-1.623833448,0.000330736,0.000936011,0.005785866,0.012420603,0.029331630,0.114639176,0.422754435,0.701671275,1.560772225,8.799791027,10.426745357,13.517840534
3,0.033383293,1,0.222680860,-0.265150230,2.426475943,-0.013145236,0.004802369,0.020846989,0.263237554,-0.203084005,0.014187561,1.209783689,1.715448405,-1.626651016,0.000319567,0.000849141,0.005120372,0.009106955,0.023253828,0.100046626,0.348002137,0.610445303,1.439988639,8.171999891,9.898801987,13.121023450
4,0.044511057,1,0.222551149,-0.265108969,2.426708428,-0.010144627,0.002649075,0.020904083,0.275676260,-0.183889818,-0.003932646,0.999886002,1.736488837,-1.630217104,0.000323433,0.000824306,0.004667036,0.006895422,0.018405050,0.086956483,0.282012865,0.526113099,1.324031438,7.521930794,9.351438854,12.714752566
5,0.055638821,1,0.222455541,-0.265090475,2.426940426,-0.007022085,0.000710959,0.020759309,0.284816226,-0.164382958,-0.022094961,0.608987416,1.772158486,-1.634067648,0.000325711,0.000825685,0.004388525,0.005730453,0.014796383,0.075364332,0.225932514,0.449348921,1.213160436,6.864872002,8.789295566,12.299429859
6,0.066766585,1,0.222395143,-0.265092332,2.427169687,-0.003826364,-0.001007547,0.020412204,0.288430728,-0.144388932,-0.040295481,0.004144410,1.823999800,-1.636737342,0.000322025,0.000830994,0.004239443,0.005344675,0.012402730,0.065271733,0.180977690,0.380890126,1.107656985,6.221937712,8.219550837,11.875876395
7,0.077894349,1,0.222370380,-0.265112061,2.427393958,-0.000632273,-0.002500053,0.019862467,0.284140472,-0.123739269,-0.058506622,-0.806296826,1.889056503,-1.635373600,0.000313473,0.000830397,0.004174609,0.005331074,0.011083972,0.056683305,0.148176446,0.321523253,1.007822361,5.618298160,7.651741430,11.445362995
8,0.089022113,1,0.222380698,-0.265147104,2.427610986,0.002460362,-0.003758584,0.019110311,0.269908158,-0.102325825,-0.076661214,-1.771477359,1.959689974,-1.625787597,0.000302836,0.000821583,0.004156241,0.005384113,0.010548033,0.049598441,0.127630773,0.272035275,0.913976228,5.080296479,7.097361403,11.009622649
9,0.100149878,1,0.222424321,-0.265194810,2.427818522,0.005332893,-0.004774510,0.018156977,0.244447871,-0.080146661,-0.094639632,-2.808136995,2.024496436,-1.602769168,0.000292803,0.000805963,0.004156963,0.005367993,0.010442835,0.043994973,0.117539961,0.233069501,0.826454923,4.631273558,6.569233831,10.570845335
