rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,2337,2391,2246,2337,0.455666,1.50824,0,1
2,2468,2521,2391,2468,0.467951,1.51514,0,1
3,2597,2656,2521,2597,0.497185,1.4801,0,1
4,2729,2782,2656,2729,0.524798,1.53859,0,1
5,2862,2925,2782,2862,0.487144,1.49893,0,1
6,2991,3045,2929,2991,0.451854,1.31659,0,1
7,3207,3273,3063,3207,0.443292,1.05078,0,1
8,3466,3524,3315,3466,0.473672,1.42853,0,1
9,3814,3911,3591,3814,0.497499,1.55528,0,1
10,3974,4026,3911,3974,0.511191,1.57412,0,1
11,4086,4135,4026,4086,0.451436,1.49295,0,1
12,4190,4253,4135,4190,0.435326,1.01537,0,1
13,4325,4373,4273,4325,0.460068,1.507,0,1
14,4418,4462,4373,4418,0.427868,1.54505,0,1
15,4508,4554,4462,4508,0.405661,1.36645,0,1
16,4606,4658,4554,4606,0.393766,1.17775,0,1
17,5016,5301,4721,5016,0.466706,0.335302,0,1
18,-1,-1,5301,5904,0,0,0,0
