rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1209,1259,1055,1209,0.40028,1.36735,0,1
2,1322,1373,1259,1322,0.463189,1.59226,0,1
3,1533,1587,1397,1533,0.444712,1.42691,0,1
4,1657,1708,1587,1657,0.439015,1.41003,0,1
5,1773,1821,1708,1773,0.457622,1.5944,0,1
6,1879,1924,1821,1879,0.454968,1.70052,0,1
7,1983,2028,1924,1983,0.496054,1.80971,0,1
8,2098,2146,2028,2098,0.486244,1.73591,0,1
9,2203,2246,2146,2203,0.431622,1.76328,0,1
10,2303,2349,2246,2303,0.454208,1.63443,0,1
11,2407,2461,2349,2407,0.494715,1.61648,0,1
12,2931,3211,2461,2921,0.45976,0.44564,0,1
13,3428,3471,3215,3428,0.469,1.90776,0,1
14,3534,3583,3471,3534,0.511141,1.78173,0,1
15,3640,3683,3583,3640,0.466653,1.82411,0,1
16,3742,3787,3683,3742,0.484228,1.80318,0,1
17,3849,3895,3787,3849,0.458732,1.71686,0,1
18,3957,4008,3895,3957,0.462772,1.59493,0,1
19,4068,4115,4008,4068,0.4715,1.658,0,1
20,4173,4220,4115,4173,0.490657,1.71891,0,1
21,4272,4320,4220,4272,0.508141,1.59547,0,1
22,4372,4470,4320,4372,0.453216,0.722972,0,1
23,4691,4745,4470,4691,0.505572,1.50914,0,1
24,4805,4858,4745,4805,0.489052,1.49467,0,1
25,4942,4995,4858,4939,0.45746,1.4334,0,1
26,5592,5624,4995,5592,2.41127,14.7543,0,0
27,5651,5665,5624,5651,0.250966,8.98934,0,0
28,5683,5701,5665,5683,0.111349,1.46408,0,0
