rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,779,853,438,779,0.613679,1.177,0,1
2,975,1048,853,975,0.681359,1.27781,0,1
3,1164,1237,1090,1164,0.67681,1.27775,0,1
4,1358,1432,1237,1358,0.666683,1.2068,0,1
5,1549,1625,1432,1549,0.703763,1.30082,0,1
6,1739,1816,1625,1739,0.719245,1.31645,0,1
7,1945,2024,1816,1945,0.690143,1.1602,0,1
8,2141,2217,2062,2141,0.650616,1.16204,0,1
9,2344,2428,2257,2344,0.71551,1.12863,0,1
10,2547,2630,2473,2547,0.719825,1.11834,0,1
11,2872,2902,2717,2872,0.127835,0.77092,0,0
12,-1,-1,2902,3091,0,0,0,0
