timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777902667.712812,-0.309921,0.122420,2.643000,371.270203,261.439392,0.634642,3.474832,0.912863,depth,1
1777902667.723939,-0.307780,0.122191,2.627000,371.313568,261.523468,0.628794,3.472640,0.898353,depth,1
1777902667.735068,-0.309454,0.122659,2.638000,371.250641,261.516296,0.623935,3.495860,0.885045,depth,1
1777902667.746195,-0.309069,0.122703,2.638000,371.313568,261.523468,0.629303,3.498068,0.898353,depth,1
1777902667.757322,-0.309069,0.122703,2.638000,371.313568,261.523468,0.629001,3.482963,0.898353,depth,1
1777902667.768449,-0.309069,0.122703,2.638000,371.313568,261.523468,0.629039,3.484887,0.898353,depth,1
1777902667.779577,-0.309801,0.122791,2.643000,371.289734,261.500000,0.629028,3.470737,0.899032,depth,1
1777902667.790704,-0.309069,0.122703,2.638000,371.313568,261.523468,0.629092,3.487526,0.898353,depth,1
1777902667.801832,-0.308864,0.122403,2.633000,371.251251,261.512451,0.610855,2.987140,0.877782,depth,1
1777902667.812960,-0.307660,0.122560,2.627000,371.333344,261.583954,0.623263,3.462252,0.885045,depth,1
1777902667.824087,-0.309334,0.122188,2.638000,371.270203,261.439392,0.634298,3.457644,0.912863,depth,1
1777902667.835214,-0.309212,0.123564,2.638000,371.290161,261.664276,0.609842,2.951214,0.877044,depth,1
1777902667.846343,-0.307074,0.122326,2.622000,371.333344,261.583954,0.623625,3.480383,0.885045,depth,1
1777902667.857470,-0.309921,0.122420,2.643000,371.270203,261.439392,0.634715,3.478463,0.912863,depth,1
1777902667.868597,-0.309186,0.123132,2.638000,371.294403,261.593689,0.605105,2.966771,0.864424,depth,1
1777902667.879725,-0.309069,0.122703,2.638000,371.313568,261.523468,0.629576,3.511727,0.898353,depth,1
1777902667.890852,-0.309334,0.122188,2.638000,371.270203,261.439392,0.635562,3.520851,0.912863,depth,1
1777902667.901979,-0.309069,0.122703,2.638000,371.313568,261.523468,0.629544,3.510122,0.898353,depth,1
1777902667.913108,-0.307195,0.121959,2.622000,371.313568,261.523468,0.629024,3.484129,0.898353,depth,1
1777902667.924235,-0.308483,0.122470,2.633000,371.313568,261.523468,0.629075,3.486658,0.898353,depth,1
1777902667.935362,-0.309069,0.122703,2.638000,371.313568,261.523468,0.629646,3.515249,0.898353,depth,1
1777902667.946490,-0.307660,0.122560,2.627000,371.333344,261.583954,0.624117,3.504953,0.885045,depth,1
1777902667.957618,-0.309655,0.122935,2.643000,371.313568,261.523468,0.628935,3.479661,0.898353,depth,1
1777902667.968745,-0.307780,0.122191,2.627000,371.313568,261.523468,0.628758,3.470824,0.898353,depth,1
1777902667.979873,-0.307780,0.122191,2.627000,371.313568,261.523468,0.629321,3.498992,0.898353,depth,1
1777902667.991000,-0.307780,0.122191,2.627000,371.313568,261.523468,0.629093,3.487588,0.898353,depth,1
1777902668.002127,-0.308483,0.122470,2.633000,371.313568,261.523468,0.629618,3.513814,0.898353,depth,1
1777902668.013255,-0.309069,0.122703,2.638000,371.313568,261.523468,0.629298,3.497842,0.898353,depth,1
1777902668.024383,-0.308483,0.122470,2.633000,371.313568,261.523468,0.628802,3.473010,0.898353,depth,1
1777902668.035510,-0.309334,0.122188,2.638000,371.270203,261.439392,0.634805,3.482973,0.912863,depth,1
1777902668.046638,-0.309334,0.122188,2.638000,371.270203,261.439392,0.634991,3.492285,0.912863,depth,1
1777902668.057765,-0.309921,0.122420,2.643000,371.270203,261.439392,0.634540,3.469737,0.912863,depth,1
1777902668.068892,-0.308748,0.121957,2.633000,371.270203,261.439392,0.634857,3.485577,0.912863,depth,1
1777902668.080020,-0.309921,0.122420,2.643000,371.270203,261.439392,0.634548,3.470118,0.912863,depth,1
