# which inertial sample is which camera frame, from the hardware trigger
# frame_period_s=0.011127695  (89.865873305 Hz, measured from this session's own trigger pulses -- the camera does not run at 90.000)
# trigger_pulses=2631  pulses_the_imu_missed=0
# t_bar_s is the exposure time in the BAR's clock, the same clock as esp_timestamp_us in imu/raw_imu.csv
# imu_sample is a row index into imu/raw_imu.csv; tagged=0 means the inertial stream missed that pulse and the time is interpolated
frame,video_row,t_bar_s,imu_sample,tagged
0,0,635.813372,0,1
1,1,635.824507,11,1
2,2,635.835645,22,1
3,3,635.846780,33,1
4,4,635.856903,43,1
5,5,635.868042,54,1
6,6,635.879177,65,1
7,7,635.890315,76,1
8,8,635.901450,87,1
9,9,635.912586,98,1
10,10,635.923723,109,1
11,11,635.934858,120,1
12,12,635.945995,131,1
13,13,635.957131,142,1
14,14,635.968267,153,1
15,15,635.979404,164,1
16,16,635.990540,175,1
17,17,636.001676,186,1
18,18,636.012812,197,1
19,19,636.023947,208,1
20,20,636.035082,219,1
21,21,636.046220,230,1
22,22,636.057357,241,1
23,23,636.068493,252,1
24,24,636.079627,263,1
25,25,636.090764,274,1
26,26,636.101900,285,1
27,27,636.113037,296,1
28,28,636.124173,307,1
29,29,636.135308,318,1
30,30,636.146444,329,1
31,31,636.157580,340,1
32,32,636.168717,351,1
33,33,636.179854,362,1
34,34,636.190988,373,1
35,35,636.202124,384,1
36,36,636.213263,395,1
37,37,636.224397,406,1
38,38,636.235534,417,1
39,39,636.246672,428,1
40,40,636.257806,439,1
41,41,636.268943,450,1
42,42,636.280079,461,1
43,43,636.291214,472,1
44,44,636.302352,483,1
45,45,636.313487,494,1
46,46,636.324624,505,1
47,47,636.335761,516,1
48,48,636.346894,527,1
49,49,636.358033,538,1
50,50,636.369167,549,1
51,51,636.380303,560,1
52,52,636.391441,571,1
53,53,636.402577,582,1
54,54,636.413714,593,1
55,55,636.424850,604,1
56,56,636.435986,615,1
57,57,636.447121,626,1
58,58,636.458256,637,1
59,59,636.469393,648,1
60,60,636.480531,659,1
61,61,636.491667,670,1
62,62,636.502803,681,1
63,63,636.513938,692,1
64,64,636.525074,703,1
65,65,636.536210,714,1
66,66,636.547347,725,1
67,67,636.558484,736,1
68,68,636.569620,747,1
69,69,636.580756,758,1
