rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1809,1867,1867,1939,0.527481,1.73799,0,1
2,1939,2006,2006,2089,0.579581,1.92301,0,1
3,2089,2170,2170,2257,0.574291,1.7186,0,1
4,2262,2321,2321,2399,0.556506,1.63346,0,1
5,2399,2475,2475,2552,0.616899,1.93434,0,1
6,2552,2623,2623,2697,0.584687,1.81802,0,1
7,2697,2771,2771,2844,0.589369,1.83987,0,1
8,2844,2916,2916,2985,0.621082,1.86611,0,1
9,2985,3054,3054,3133,0.617214,2.00231,0,1
10,3133,3207,3207,3282,0.60438,1.72689,0,1
11,3282,3357,3357,3439,0.632227,1.9541,0,1
12,3439,3512,3512,3588,0.6477,1.95363,0,1
13,3588,3659,3659,3743,0.599141,1.8996,0,1
