rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,971,1038,1038,1113,0.378721,0.879074,0,1
2,1113,1180,1180,1254,0.539046,1.21068,0,1
3,1254,1313,1313,1403,0.44734,1.25398,0,1
4,1403,1471,1471,1556,0.524599,1.30772,0,1
5,1556,1626,1641,1703,0.462507,1.27424,0,1
6,1703,1779,1785,1848,0.460644,1.20638,0,1
7,1848,1925,1925,1998,0.461988,1.28734,0,1
8,1998,2056,2056,2140,0.461391,1.33749,0,1
9,2140,2221,2229,2288,0.453613,1.1564,0,1
10,2288,2369,2376,2438,0.453413,1.20106,0,1
11,2438,2531,2531,2601,0.498006,1.22233,0,1
12,2601,2688,2694,2758,0.417633,0.974072,0,1
13,2758,2831,2841,2905,0.424347,1.05283,0,1
14,2905,2980,2980,3066,0.475076,1.17381,0,1
15,3066,3144,3155,3228,0.46282,1.19824,0,1
16,3228,3312,3312,3380,0.406682,1.0762,0,1
17,3380,3467,3477,3537,0.35719,1.01066,0,1
18,3537,3625,3631,3699,0.415843,0.947809,0,1
19,3699,3783,3783,3871,0.494936,1.19651,0,1
20,3871,3960,3965,4019,0.47808,1.08118,0,1
21,4019,4093,4098,4421,0.421294,1.05536,0,0
