rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1057,1143,442,1057,0.670649,1.06191,0,1
2,1265,1338,1143,1265,0.680886,1.27506,0,1
3,1462,1542,1364,1462,0.702436,1.25046,0,1
4,1664,1741,1542,1664,0.65949,1.13829,0,1
5,1851,1931,1763,1851,0.635138,1.16481,0,1
6,2039,2116,1949,2039,0.710448,1.21073,0,1
7,2231,2304,2141,2231,0.725973,1.34056,0,1
8,2418,2492,2326,2418,0.722879,1.30631,0,1
9,2607,2686,2515,2607,0.785064,1.37348,0,1
10,2801,2873,2686,2801,0.744935,1.5284,0,1
