rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,426,646,648,802,0.708723,1.10241,0,1
2,808,923,946,1096,0.643968,1.08341,0,1
3,1096,1215,1227,1370,0.717727,1.35324,0,1
4,1370,1461,1461,1637,0.674111,1.48829,0,1
5,1637,1726,1726,1913,0.660274,1.3656,0,1
6,1913,2055,2055,2189,0.661335,1.37887,0,1
7,2189,2315,2317,2459,0.677238,1.31695,0,1
8,2459,2548,2548,2718,0.749524,1.48978,0,1
9,2718,2815,2849,2980,0.698028,1.472,0,1
10,2980,3067,3116,3240,0.690379,1.51093,0,1
11,3240,3330,3369,3502,0.666083,1.3841,0,1
12,3502,3591,3634,3758,0.651576,1.19565,0,1
13,3758,3851,3859,4020,0.712425,1.41627,0,1
14,4020,4095,4095,4257,0.643644,1.35465,0,1
15,4257,4342,4381,4501,0.621897,1.34072,0,1
