rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,310,490,490,513,0.804476,1.70492,0,0
2,513,583,583,666,0.644245,1.47825,0,1
3,666,790,790,865,0.599414,1.10351,0,1
4,865,998,998,1081,0.6588,1.33021,0,1
5,1081,1217,1217,1295,0.683004,1.13522,0,1
6,1330,1431,1431,1518,0.696155,1.28013,0,1
7,1560,1665,1665,1765,0.705626,1.13983,0,1
8,1765,1922,1922,2017,0.696853,1.19484,0,1
9,2054,2172,2172,2282,0.75968,1.31478,0,1
