rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,911,1052,1052,1112,0.947949,1.49435,0,0
2,1112,1173,1173,1241,0.494925,1.14959,0,1
3,1241,1307,1307,1367,0.520102,1.06316,0,1
4,1367,1426,1426,1485,0.484066,1.15534,0,1
5,1485,1545,1545,1608,0.513003,1.18622,0,1
6,1608,1666,1666,1728,0.465729,1.16549,0,1
7,1728,1786,1786,1845,0.473647,1.22637,0,1
8,1845,1903,1903,1957,0.485719,1.23642,0,1
9,1957,2020,2020,2078,0.481884,1.07845,0,1
10,2078,2135,2135,2190,0.507564,1.41223,0,1
11,2190,2248,2248,3345,0.482774,1.22535,0,0
