rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,2126,2205,1954,2126,0.491686,1.27618,0,1
2,2270,2322,2205,2270,0.44742,1.43005,0,1
3,2381,2434,2322,2381,0.492128,1.46364,0,1
4,2492,2548,2434,2492,0.433977,1.08838,0,1
5,2611,2670,2548,2611,0.477388,1.2269,0,1
6,2727,2785,2670,2727,0.446221,1.20558,0,1
7,2912,2964,2785,2912,0.465414,1.36492,0,1
8,3156,3214,2964,3156,0.443766,1.17287,0,1
9,3282,3338,3214,3282,0.456801,1.18627,0,1
10,3402,3470,3338,3402,0.480646,1.03835,0,1
11,3729,3789,3532,3729,0.477153,1.2728,0,1
12,3858,3917,3789,3858,0.4673,1.18084,0,1
13,4175,4237,3917,4175,0.386848,1.06593,0,1
14,4308,4373,4237,4308,0.417735,0.855573,0,1
15,4483,4547,4373,4483,0.380708,0.963486,0,1
16,4831,4890,4547,4831,0.416826,1.02405,0,1
17,5010,5061,4890,5010,0.401228,1.34382,0,1
18,5135,5188,5061,5135,0.386865,1.04346,0,1
19,5246,5295,5188,5246,0.378368,1.17254,0,1
20,5348,5399,5295,5348,0.427413,1.26634,0,1
21,5450,5498,5399,5450,0.411686,1.27482,0,1
22,5546,5593,5498,5546,0.419942,1.33372,0,1
23,5639,5686,5593,5639,0.445066,1.44611,0,1
24,5734,5781,5686,5734,0.383942,1.1919,0,1
25,5825,5875,5781,5825,0.407051,1.14701,0,1
26,5923,5972,5875,5923,0.387215,1.06036,0,1
27,6038,6099,5972,6038,0.408058,1.00438,0,1
28,-1,-1,6099,6467,0,0,0,0
