rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,2629,2685,2375,2629,0.448959,1.18926,0,1
2,2761,2816,2685,2761,0.482327,1.33977,0,1
3,2895,2952,2816,2895,0.454065,1.12523,0,1
4,3019,3076,2952,3019,0.482473,1.12862,0,1
5,3154,3216,3076,3154,0.462582,1.11987,0,1
6,3384,3445,3216,3384,0.468167,1.05818,0,1
7,3619,3687,3445,3619,0.524716,1.00725,0,1
8,3857,3921,3687,3857,0.492906,1.05548,0,1
9,4158,4266,3921,4158,0.499325,0.853496,0,1
10,4449,4516,4266,4449,0.499055,0.988291,0,1
11,4695,4751,4516,4695,0.51088,1.26979,0,1
12,4807,4860,4751,4807,0.519507,1.44262,0,1
13,4930,4986,4860,4930,0.497967,1.34111,0,1
14,5169,5227,4986,5169,0.457294,1.10396,0,1
15,5304,5373,5227,5304,0.482075,1.13701,0,1
16,5523,5589,5373,5523,0.477683,1.04845,0,1
17,5762,5824,5589,5762,0.516803,1.2017,0,1
18,5910,5975,5824,5910,0.510647,1.09534,0,1
19,6189,6248,5975,6189,0.501709,1.22729,0,1
20,6322,6388,6248,6322,0.512527,1.08333,0,1
21,6755,6834,6388,6755,0.511166,0.88036,0,1
22,7940,7975,6834,7940,0.787781,4.19011,0,1
