rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1748,1825,1637,1743,0.451543,1.12088,0,1
2,2014,2080,1831,2014,0.462569,1.40627,0,1
3,2212,2296,2080,2212,0.453844,0.905522,0,1
4,2647,2720,2333,2647,0.468082,1.4398,0,1
5,2796,2862,2735,2796,0.468431,1.23355,0,1
6,2931,3016,2862,2931,0.44687,1.24709,0,1
7,3435,3612,3016,3435,0.492245,0.876715,0,1
8,3751,4053,3612,3750,0.470896,0.968652,0,1
9,4279,4391,4106,4279,0.484684,1.16648,0,1
10,4646,4768,4391,4644,0.465688,0.78905,0,1
