recv_pkts,recv_rate_pkt,recv_bytes,fwd_bytes,overruns
1607,95.6,334256,334256,0
2224,123.4,462592,462592,0
2841,123.4,590928,590928,0
3459,123.4,719472,719472,0
4077,123.6,848016,848016,0
4694,123.4,976352,976352,0
5311,123.4,1104688,1104688,0
5929,123.6,1233232,1233232,0
6546,123.4,1361568,1361568,0
7164,123.6,1490112,1490112,0
7781,123.4,1618448,1618448,0
8399,123.6,1746992,1746992,0
9016,123.4,1875328,1875328,0
