t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
1.970,158,1777799532367.494,11.098,0
1.981,159,1777799532378.593,11.098,0
1.992,160,1777799532389.690,11.097,0
2.003,161,1777799532400.787,11.097,0
2.014,162,1777799532411.885,11.098,0
2.026,163,1777799532422.982,11.097,0
2.037,164,1777799532434.078,11.096,0
2.048,165,1777799532445.176,11.097,0
2.059,166,1777799532456.272,11.096,0
2.070,167,1777799532467.368,11.096,0
2.081,168,1777799532478.464,11.097,0
2.092,169,1777799532489.560,11.096,0
2.103,170,1777799532500.655,11.095,0
2.115,171,1777799532511.751,11.096,0
2.126,172,1777799532522.846,11.095,0
2.137,173,1777799532533.941,11.095,0
2.148,174,1777799532545.037,11.096,0
2.159,175,1777799532556.131,11.094,0
2.170,176,1777799532567.225,11.094,0
2.181,177,1777799532578.321,11.095,0
2.192,178,1777799532589.414,11.094,0
2.203,179,1777799532600.508,11.094,0
2.215,180,1777799532611.602,11.094,0
2.226,181,1777799532622.696,11.093,0
2.237,182,1777799532633.789,11.093,0
2.248,183,1777799532644.882,11.094,0
2.259,184,1777799532655.975,11.093,0
2.270,185,1777799532667.068,11.093,0
2.281,186,1777799532678.161,11.093,0
2.293,187,1777799532689.253,11.092,0
2.304,188,1777799532700.345,11.092,0
2.315,189,1777799532711.438,11.093,0
2.326,190,1777799532722.529,11.091,0
2.337,191,1777799532733.620,11.091,0
2.348,192,1777799532744.712,11.092,0
2.359,193,1777799532755.803,11.091,0
2.370,194,1777799532766.894,11.091,0
2.381,195,1777799532777.984,11.090,0
2.392,196,1777799532789.076,11.091,0
2.404,197,1777799532800.166,11.090,0
2.415,198,1777799532811.256,11.090,0
2.426,199,1777799532822.347,11.091,0
2.437,200,1777799532833.436,11.089,0
2.448,201,1777799532844.525,11.089,0
2.459,202,1777799532855.620,11.095,0
2.470,203,1777799532866.746,11.125,0
2.482,204,1777799532877.871,11.125,0
2.493,205,1777799532888.997,11.126,0
2.504,206,1777799532900.123,11.125,0
2.515,207,1777799532911.248,11.125,0
2.526,208,1777799532922.375,11.126,0
2.537,209,1777799532933.500,11.125,0
2.548,210,1777799532944.626,11.125,0
2.559,211,1777799532955.752,11.127,0
2.571,212,1777799532966.878,11.125,0
2.582,213,1777799532978.004,11.126,0
2.593,214,1777799532989.130,11.127,0
2.604,215,1777799533000.256,11.126,0
2.615,216,1777799533011.382,11.126,0
2.626,217,1777799533022.509,11.127,0
2.637,218,1777799533033.635,11.126,0
2.649,219,1777799533044.760,11.126,0
2.660,220,1777799533055.887,11.127,0
2.671,221,1777799533067.013,11.126,0
2.682,222,1777799533078.139,11.126,0
2.693,223,1777799533089.266,11.127,0
2.704,224,1777799533100.392,11.126,0
2.715,225,1777799533111.518,11.126,0
2.726,226,1777799533122.645,11.127,0
2.737,227,1777799533133.771,11.126,0
2.749,228,1777799533144.897,11.126,0
2.760,229,1777799533156.025,11.127,0
2.771,230,1777799533167.151,11.126,0
2.782,231,1777799533178.277,11.126,0
2.793,232,1777799533189.404,11.127,0
2.804,233,1777799533200.531,11.126,0
2.815,234,1777799533211.657,11.126,0
2.827,235,1777799533222.783,11.126,0
2.838,236,1777799533233.911,11.127,0
2.849,237,1777799533245.037,11.126,0
2.860,238,1777799533256.164,11.126,0
2.871,239,1777799533267.291,11.127,0
2.882,240,1777799533278.418,11.127,0
2.893,241,1777799533289.544,11.126,0
2.904,242,1777799533300.672,11.128,0
2.915,243,1777799533311.798,11.126,0
2.927,244,1777799533322.925,11.127,0
2.938,245,1777799533334.053,11.128,0
2.949,246,1777799533345.179,11.127,0
2.960,247,1777799533356.306,11.127,0
2.971,248,1777799533367.434,11.128,0
2.982,249,1777799533378.561,11.127,0
2.993,250,1777799533389.688,11.127,0
3.005,251,1777799533400.816,11.128,0
3.016,252,1777799533411.943,11.127,0
3.027,253,1777799533423.070,11.127,0
3.038,254,1777799533434.198,11.128,0
3.049,255,1777799533445.325,11.127,0
3.060,256,1777799533456.452,11.127,0
3.071,257,1777799533467.580,11.128,0
3.082,258,1777799533478.707,11.127,0
3.094,259,1777799533489.834,11.127,0
3.105,260,1777799533500.962,11.128,0
3.116,261,1777799533512.090,11.127,0
3.127,262,1777799533523.217,11.127,0
3.138,263,1777799533534.345,11.128,0
3.149,264,1777799533545.472,11.127,0
3.160,265,1777799533556.600,11.127,0
3.171,266,1777799533567.728,11.128,0
3.183,267,1777799533578.855,11.127,0
3.194,268,1777799533589.983,11.127,0
3.205,269,1777799533601.112,11.129,0
3.216,270,1777799533612.239,11.127,0
3.227,271,1777799533623.366,11.127,0
3.238,272,1777799533634.495,11.129,0
3.249,273,1777799533645.623,11.128,0
3.261,274,1777799533656.750,11.128,0
3.272,275,1777799533667.878,11.128,0
3.283,276,1777799533679.007,11.129,0
3.294,277,1777799533690.135,11.128,0
3.305,278,1777799533701.262,11.128,0
3.316,279,1777799533712.391,11.129,0
3.327,280,1777799533723.519,11.128,0
3.338,281,1777799533734.647,11.128,0
3.350,282,1777799533745.776,11.129,0
3.361,283,1777799533756.904,11.128,0
3.372,284,1777799533768.032,11.128,0
3.383,285,1777799533779.161,11.129,0
3.394,286,1777799533790.289,11.128,0
3.405,287,1777799533801.417,11.128,0
3.416,288,1777799533812.546,11.129,0
3.427,289,1777799533823.674,11.128,0
3.438,290,1777799533834.802,11.128,0
3.449,291,1777799533845.932,11.129,0
3.461,292,1777799533857.059,11.128,0
3.472,293,1777799533868.186,11.126,0
3.483,294,1777799533879.313,11.127,0
3.494,295,1777799533890.439,11.126,0
3.505,296,1777799533901.566,11.126,0
3.516,297,1777799533912.693,11.127,0
3.528,298,1777799533923.820,11.126,0
3.539,299,1777799533934.946,11.126,0
3.550,300,1777799533946.073,11.127,0
3.561,301,1777799533957.200,11.126,0
3.572,302,1777799533968.326,11.126,0
3.583,303,1777799533979.454,11.128,0
3.594,304,1777799533990.581,11.126,0
3.606,305,1777799534001.707,11.126,0
3.617,306,1777799534012.835,11.128,0
3.628,307,1777799534023.961,11.126,0
3.639,308,1777799534035.088,11.127,0
3.650,309,1777799534046.216,11.128,0
3.661,310,1777799534057.342,11.126,0
3.672,311,1777799534068.469,11.127,0
3.684,312,1777799534079.596,11.128,0
3.694,313,1777799534090.723,11.127,0
3.705,314,1777799534101.850,11.127,0
3.717,315,1777799534112.977,11.127,0
3.728,316,1777799534124.104,11.128,0
3.739,317,1777799534135.231,11.127,0
3.750,318,1777799534146.358,11.127,0
3.761,319,1777799534157.486,11.128,0
3.772,320,1777799534168.612,11.127,0
3.783,321,1777799534179.739,11.127,0
3.795,322,1777799534190.867,11.128,0
3.806,323,1777799534201.994,11.127,0
3.817,324,1777799534213.121,11.127,0
3.828,325,1777799534224.249,11.128,0
3.839,326,1777799534235.375,11.127,0
3.850,327,1777799534246.502,11.127,0
3.861,328,1777799534257.630,11.128,0
3.872,329,1777799534268.757,11.127,0
3.884,330,1777799534279.884,11.127,0
3.895,331,1777799534291.012,11.128,0
3.906,332,1777799534302.139,11.127,0
3.917,333,1777799534313.266,11.127,0
3.928,334,1777799534324.394,11.128,0
3.939,335,1777799534335.521,11.127,0
3.950,336,1777799534346.648,11.127,0
3.961,337,1777799534357.776,11.128,0
3.972,338,1777799534368.903,11.127,0
3.984,339,1777799534380.030,11.127,0
3.995,340,1777799534391.158,11.128,0
4.006,341,1777799534402.285,11.127,0
4.017,342,1777799534413.413,11.127,0
4.028,343,1777799534424.541,11.128,0
4.039,344,1777799534435.668,11.127,0
4.051,345,1777799534446.795,11.127,0
4.062,346,1777799534457.923,11.128,0
4.073,347,1777799534469.051,11.127,0
4.084,348,1777799534480.178,11.127,0
4.095,349,1777799534491.306,11.128,0
4.106,350,1777799534502.433,11.127,0
4.117,351,1777799534513.561,11.127,0
4.128,352,1777799534524.689,11.128,0
4.139,353,1777799534535.816,11.127,0
4.151,354,1777799534546.943,11.127,0
4.162,355,1777799534558.071,11.127,0
4.173,356,1777799534569.199,11.128,0
4.184,357,1777799534580.326,11.127,0
4.195,358,1777799534591.454,11.127,0
4.207,359,1777799534602.582,11.128,0
4.218,360,1777799534613.710,11.127,0
4.229,361,1777799534624.837,11.127,0
