timestamp_s,depth_m,pixel_u,pixel_v
1777900747.064427,2.766000,402.666656,255.686081
1777900747.075554,2.771000,402.666656,255.857605
1777900747.086681,2.771000,402.666656,255.686081
1777900747.097809,2.789000,402.653961,255.774597
1777900747.108937,2.783000,402.653961,255.774597
1777900747.120064,2.766000,402.666656,255.686081
1777900747.131192,2.789000,402.679871,255.768982
1777900747.142319,2.783000,402.679871,255.768982
1777900747.153446,2.783000,402.679871,255.768982
1777900747.164574,2.789000,402.666656,255.686081
1777900747.175701,2.789000,402.653198,255.855225
1777900747.186828,2.801000,402.666656,255.686081
1777900747.197957,2.766000,402.660065,255.943893
1777900747.209084,2.771000,402.666656,255.686081
1777900747.220211,2.754000,402.666656,255.686081
1777900747.231338,2.771000,402.666656,255.857605
1777900747.242466,2.789000,402.666656,255.686081
1777900747.253593,2.766000,402.666656,255.857605
1777900747.264720,2.789000,402.653961,255.774597
1777900747.275848,2.789000,402.666656,255.686081
1777900747.286976,2.783000,402.660431,255.862930
1777900747.298103,2.789000,402.666656,255.686081
1777900747.309231,2.789000,402.666656,255.857605
1777900747.320358,2.771000,402.666656,255.686081
1777900747.331485,2.795000,402.666656,255.686081
1777900747.342613,2.789000,402.666656,255.686081
1777900747.353740,2.766000,402.679871,255.768982
1777900747.364867,2.754000,402.666656,255.686081
1777900747.375996,2.771000,402.653961,255.774597
1777900747.387123,2.783000,402.666656,255.686081
1777900747.398250,2.789000,402.679871,255.768982
1777900747.409378,2.771000,402.640259,255.943893
1777900747.420505,2.801000,402.666656,255.686081
1777900747.431632,2.766000,402.666656,255.686081
1777900747.442760,2.771000,402.653961,255.774597
1777900747.453887,2.754000,402.666656,255.857605
1777900747.465015,2.795000,402.679871,255.768982
1777900747.476143,2.766000,402.666656,255.686081
1777900747.487270,2.789000,402.679871,255.768982
1777900747.498397,2.771000,402.653961,255.774597
1777900747.509525,2.766000,402.666656,255.686081
1777900747.520652,2.783000,402.679871,255.768982
1777900747.531779,2.766000,402.673401,255.855225
1777900747.542907,2.789000,402.679871,255.768982
1777900747.554035,2.771000,402.666656,255.686081
1777900747.565162,2.771000,402.679871,255.768982
1777900747.576290,2.795000,402.679871,255.768982
1777900747.587417,2.795000,402.666656,255.686081
1777900747.598544,2.754000,402.653961,255.774597
1777900747.609672,2.771000,402.666656,255.686081
1777900747.620799,2.783000,402.653961,255.774597
1777900747.631927,2.771000,402.666656,255.686081
1777900747.643055,2.766000,402.653961,255.774597
1777900747.654182,2.771000,402.666656,255.857605
1777900747.665309,2.766000,402.666656,255.686081
1777900747.676436,2.771000,402.666656,255.686081
1777900747.687564,2.771000,402.646057,255.941574
1777900747.698691,2.771000,402.666656,255.686081
1777900747.709818,2.766000,402.653961,255.774597
1777900747.720946,2.771000,402.666656,255.686081
1777900747.732074,2.771000,402.679871,255.768982
1777900747.743201,2.771000,402.666656,255.686081
1777900747.754329,2.789000,402.666656,255.686081
1777900747.765456,2.789000,402.653961,255.774597
1777900747.776583,2.783000,402.653961,255.774597
1777900747.787711,2.771000,402.679871,255.768982
1777900747.798838,2.789000,402.666656,255.686081
1777900747.809965,2.771000,402.666656,255.686081
1777900747.821094,2.748000,402.666656,255.686081
1777900747.832221,2.789000,402.666656,255.857605
1777900747.843348,2.783000,402.679871,255.768982
1777900747.854476,2.783000,402.679871,255.768982
1777900747.865603,2.771000,402.666656,255.857605
1777900747.876730,2.783000,402.666656,255.686081
1777900747.887858,2.795000,402.666656,255.686081
1777900747.898985,2.801000,402.666656,255.686081
1777900747.910112,2.771000,402.666656,255.686081
1777900747.921241,2.754000,402.666656,255.857605
1777900747.932368,2.766000,402.679871,255.768982
1777900747.943495,2.754000,402.666656,255.686081
