rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1023,1068,1068,1114,0.251605,1.03051,0,1
2,1136,1183,1183,1249,0.255849,1.01722,0,1
3,1252,1294,1294,1357,0.300042,1.22442,0,1
4,1357,1401,1401,1466,0.302887,1.22857,0,1
5,1466,1509,1509,1579,0.291829,1.2484,0,1
6,1579,1622,1622,1688,0.286696,1.1884,0,1
7,1688,1732,1732,1796,0.318722,1.31268,0,1
8,1799,1838,1838,1906,0.260453,1.13221,0,1
9,1906,1949,1949,2007,0.274023,1.15496,0,1
10,2007,2059,2059,2121,0.331449,1.2954,0,1
11,2121,2166,2166,2218,0.329511,1.28366,0,1
12,2218,2269,2269,2327,0.282317,1.13987,0,1
13,2327,2378,2378,2429,0.373521,1.28246,0,1
14,2429,2474,2474,2605,0.303084,1.07848,0,0
