rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,897,1028,466,897,0.655318,1.15499,0,1
2,1353,1453,1034,1353,0.662004,1.10217,0,1
3,1577,1664,1487,1577,0.722592,1.20378,0,1
4,1777,1863,1688,1777,0.746443,1.30762,0,1
5,1971,2079,1863,1971,0.747211,1.24166,0,1
6,2160,2249,2085,2160,0.734139,1.20847,0,1
7,2348,2430,2264,2348,0.748663,1.22829,0,1
8,2729,2842,2553,2729,0.75471,1.24917,0,1
9,2929,3036,2847,2929,0.782151,1.19408,0,1
10,3117,3224,3036,3117,0.802237,1.25675,0,1
11,3305,3401,3229,3305,0.80755,1.34588,0,1
12,3488,3580,3413,3488,0.773226,1.08452,0,1
13,3713,3810,3604,3713,0.743402,1.14174,0,1
14,3915,4016,3829,3915,0.767513,1.13174,0,1
15,4128,4242,4016,4128,0.799949,1.0847,0,1
16,4335,4425,4250,4335,0.786796,1.14617,0,1
17,4542,4670,4425,4542,0.795376,1.16113,0,1
18,4754,4849,4670,4754,0.757033,1.11368,0,1
19,-1,-1,4930,5484,0,0,0,0
