rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,744,1134,520,744,0.453763,0.749576,0,1
2,1260,1329,1134,1260,0.36244,0.896542,0,1
3,1481,1548,1392,1481,0.444605,1.00498,0,1
4,1658,1750,1570,1658,0.47082,1.0334,0,1
5,1842,1940,1763,1842,0.473695,0.9998,0,1
6,2023,2084,1940,2023,0.403289,0.966911,0,1
7,2199,2261,2125,2199,0.439736,1.09168,0,1
8,2375,2435,2292,2375,0.380429,0.894485,0,1
9,2553,2609,2459,2553,0.356272,0.978196,0,1
10,-1,-1,2682,2943,0,0,0,0
