t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
0.214,0,1777534777635.049,0.000,0
0.223,1,1777534777646.217,11.168,0
0.234,2,1777534777657.389,11.172,0
0.245,3,1777534777668.562,11.173,0
0.256,4,1777534777679.737,11.175,0
0.267,5,1777534777690.847,11.110,0
0.278,6,1777534777701.955,11.108,0
0.289,7,1777534777713.063,11.108,0
0.300,8,1777534777724.172,11.109,0
0.311,9,1777534777735.280,11.108,0
0.322,10,1777534777746.386,11.107,0
0.333,11,1777534777757.494,11.108,0
0.345,12,1777534777768.601,11.106,0
0.356,13,1777534777779.707,11.106,0
0.367,14,1777534777790.815,11.108,0
0.379,15,1777534777801.922,11.107,0
0.389,16,1777534777813.028,11.106,0
0.400,17,1777534777824.135,11.106,0
0.412,18,1777534777835.240,11.105,0
0.423,19,1777534777846.344,11.104,0
0.434,20,1777534777857.449,11.105,0
0.445,21,1777534777868.552,11.103,0
0.456,22,1777534777879.655,11.103,0
0.467,23,1777534777890.762,11.107,0
0.479,24,1777534777901.867,11.105,0
0.489,25,1777534777912.972,11.105,0
0.500,26,1777534777924.077,11.105,0
0.512,27,1777534777935.180,11.104,0
0.523,28,1777534777946.283,11.103,0
0.534,29,1777534777957.386,11.103,0
0.545,30,1777534777968.488,11.102,0
0.556,31,1777534777979.590,11.101,0
0.567,32,1777534777990.697,11.107,0
0.579,33,1777534778001.803,11.106,0
0.590,34,1777534778012.908,11.105,0
0.601,35,1777534778024.014,11.106,0
0.612,36,1777534778035.119,11.104,0
0.623,37,1777534778046.223,11.104,0
0.634,38,1777534778057.326,11.104,0
0.645,39,1777534778068.431,11.104,0
0.657,40,1777534778079.533,11.103,0
0.668,41,1777534778090.640,11.106,0
0.679,42,1777534778101.747,11.107,0
0.690,43,1777534778112.853,11.106,0
0.701,44,1777534778123.958,11.105,0
0.712,45,1777534778135.064,11.106,0
0.723,46,1777534778146.168,11.104,0
0.734,47,1777534778157.272,11.104,0
0.745,48,1777534778168.377,11.105,0
0.757,49,1777534778179.480,11.103,0
0.768,50,1777534778190.587,11.107,0
0.780,51,1777534778201.695,11.108,0
0.790,52,1777534778212.802,11.106,0
0.801,53,1777534778223.907,11.106,0
0.812,54,1777534778235.014,11.107,0
0.824,55,1777534778246.120,11.105,0
0.835,56,1777534778257.225,11.105,0
0.846,57,1777534778268.330,11.106,0
0.857,58,1777534778279.435,11.104,0
0.868,59,1777534778290.543,11.108,0
0.879,60,1777534778301.651,11.109,0
0.890,61,1777534778312.759,11.107,0
0.901,62,1777534778323.866,11.107,0
0.913,63,1777534778334.973,11.108,0
0.924,64,1777534778346.080,11.106,0
0.935,65,1777534778357.186,11.106,0
0.946,66,1777534778368.293,11.107,0
0.957,67,1777534778379.398,11.106,0
0.968,68,1777534778390.507,11.109,0
0.979,69,1777534778401.617,11.110,0
0.991,70,1777534778412.725,11.108,0
1.002,71,1777534778423.833,11.108,0
1.013,72,1777534778434.942,11.109,0
1.024,73,1777534778446.049,11.107,0
1.036,74,1777534778457.156,11.107,0
1.046,75,1777534778468.264,11.108,0
1.057,76,1777534778479.371,11.107,0
1.068,77,1777534778490.481,11.110,0
1.080,78,1777534778501.591,11.110,0
1.091,79,1777534778512.701,11.110,0
1.102,80,1777534778523.811,11.109,0
1.113,81,1777534778534.920,11.109,0
1.124,82,1777534778546.030,11.110,0
1.136,83,1777534778557.138,11.109,0
1.146,84,1777534778568.247,11.109,0
1.157,85,1777534778579.356,11.109,0
1.169,86,1777534778590.468,11.112,0
1.180,87,1777534778601.579,11.111,0
1.191,88,1777534778612.691,11.112,0
1.202,89,1777534778623.802,11.111,0
1.213,90,1777534778634.913,11.111,0
1.224,91,1777534778646.024,11.112,0
1.236,92,1777534778657.135,11.111,0
1.247,93,1777534778668.245,11.110,0
1.258,94,1777534778679.356,11.111,0
1.269,95,1777534778690.469,11.113,0
1.280,96,1777534778701.582,11.113,0
1.292,97,1777534778712.695,11.114,0
1.302,98,1777534778723.807,11.112,0
1.313,99,1777534778734.919,11.112,0
1.324,100,1777534778746.032,11.113,0
1.336,101,1777534778757.144,11.112,0
1.347,102,1777534778768.256,11.112,0
1.358,103,1777534778779.368,11.113,0
1.369,104,1777534778790.482,11.114,0
1.380,105,1777534778801.597,11.114,0
1.391,106,1777534778812.711,11.115,0
1.402,107,1777534778823.825,11.114,0
1.414,108,1777534778834.939,11.114,0
1.425,109,1777534778846.053,11.115,0
1.436,110,1777534778857.167,11.114,0
1.447,111,1777534778868.280,11.113,0
