imu_rate_hz,imu_total,cam_trig_rate,cam_trig_total,fsync_hits,tmst_fsync_us,espnow_sent,espnow_fail
988.0,4940,62.4,312,325,730,617,0
988.0,9880,90.0,762,794,882,1235,0
987.8,14819,89.8,1211,1269,92,1852,0
988.0,19759,89.8,1660,1737,239,2469,0
987.8,24698,90.0,2110,2206,393,3077,0
