# real-time (causal) annotation produced during acquisition
# exercise=bench_press rom_prior_m=0.45 down_first=1
# gap_frames counts the frames of the rep on which the marker was NOT seen. A missing measurement is never interpolated or extrapolated: no boundary, rest or statistic in this file is derived from an unseen frame.
# confirmed=1 means the rep's cycle CLOSED (the bar returned to the level it started from). Provisional reps (confirmed=0) completed a concentric but never returned - typically an unrack/rack/pickup.
# down_first=1 means a rep of this exercise STARTS with the eccentric (bench, squat), so the phases run eccentric -> bottom_rest -> concentric. down_first=0 runs concentric -> top_rest -> eccentric. The bit moves only where the rep boundary is drawn.
rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,top_rest_start_frame,top_rest_end_frame,bottom_rest_start_frame,bottom_rest_end_frame,rom_m,peak_velocity,mean_velocity,confirmed,dropped_eccentric,tracking_gap,gap_frames
1,807,871,725,807,-1,-1,-1,-1,0.393497,0.868374,0.578589,1,0,0,0
2,933,992,871,933,-1,-1,-1,-1,0.390912,0.851738,0.617869,1,0,0,0
3,1047,1113,992,1047,-1,-1,-1,-1,0.413888,0.913625,0.624495,1,0,0,0
4,1174,1232,1113,1174,-1,-1,-1,-1,0.416943,0.948888,0.68023,1,0,0,0
5,1286,1347,1232,1286,-1,-1,-1,-1,0.404496,0.919447,0.642843,1,0,0,0
6,1409,1465,1347,1409,-1,-1,-1,-1,0.388267,0.914607,0.649218,1,0,0,0
7,1523,1581,1465,1523,-1,-1,-1,-1,0.391419,0.924219,0.644355,1,0,0,0
8,1633,1693,1581,1633,-1,-1,-1,-1,0.385019,0.909971,0.593024,1,1,0,0
9,1750,1805,1693,1750,-1,-1,-1,-1,0.346665,0.873728,0.585593,1,0,0,0
10,1858,1925,1805,1858,-1,-1,-1,-1,0.391365,0.818484,0.548038,1,0,0,0
11,1981,2043,1925,1981,-1,-1,-1,-1,0.423292,0.979155,0.677533,1,0,0,0
12,2101,2160,2043,2101,-1,-1,-1,-1,0.368644,0.806266,0.560036,1,1,0,0
13,2210,2270,2160,2210,-1,-1,-1,-1,0.357452,1.04515,0.575857,1,0,0,0
14,2334,2396,2270,2334,-1,-1,-1,-1,0.385601,0.970693,0.578903,1,0,0,0
15,2473,2541,2396,2473,-1,-1,-1,-1,0.374495,0.796531,0.540879,1,0,0,0
16,2600,2666,2541,2600,-1,-1,-1,-1,0.379825,0.995523,0.579892,1,0,0,0
17,2717,2783,2666,2717,-1,-1,-1,-1,0.366684,0.75189,0.53679,1,0,0,0
18,2851,2924,2783,2851,-1,-1,-1,-1,0.377919,0.706184,0.501434,1,0,0,0
19,2977,3048,2924,2977,-1,-1,-1,-1,0.392207,0.839866,0.537375,1,1,0,0
20,3096,3168,3048,3096,-1,-1,-1,-1,0.343157,0.770742,0.468207,1,0,0,0
21,3309,3376,3197,3309,-1,-1,-1,-1,0.356051,0.84181,0.504134,1,0,0,0
22,3431,3504,3376,3431,-1,-1,-1,-1,0.36793,0.801625,0.490163,1,0,0,0
23,3568,3654,3504,3568,-1,-1,-1,-1,0.384696,0.803677,0.395725,1,0,0,0
24,3743,3824,3654,3743,-1,-1,-1,-1,0.365505,0.721615,0.429052,1,0,0,0
25,3891,3974,3824,3891,-1,-1,-1,-1,0.351514,0.543335,0.393747,1,0,0,0
26,4065,4147,3974,4065,-1,-1,-1,-1,0.37241,0.547019,0.432501,1,0,0,0
27,4223,4325,4147,4223,-1,-1,-1,-1,0.335519,0.658562,0.318262,1,0,0,0
28,4413,4508,4325,4409,4508,4513,4410,4413,0.0990582,0.295636,0.140137,1,0,0,0
