rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,809,873,728,809,0.396025,0.878648,0,1
2,935,995,873,935,0.390036,0.823265,0,1
3,1055,1116,995,1055,0.419636,0.844146,0,1
4,1175,1234,1116,1175,0.414981,0.926438,0,1
5,1291,1349,1234,1291,0.399771,0.970064,0,1
6,1410,1468,1349,1410,0.387816,0.886946,0,1
7,1527,1584,1468,1527,0.399943,0.887097,0,1
8,1636,1696,1584,1636,0.370318,0.853727,0,1
9,1752,1808,1696,1752,0.34771,0.77191,0,1
10,1863,1927,1808,1863,0.400346,0.7631,0,1
11,1986,2046,1927,1986,0.422044,0.981141,0,1
12,2101,2163,2046,2101,0.364431,0.756605,0,1
13,2215,2272,2163,2215,0.343848,0.968865,0,1
14,2336,2399,2272,2336,0.376869,0.894884,0,1
15,2482,2544,2399,2482,0.376317,0.887232,0,1
16,2605,2668,2544,2605,0.362254,0.745008,0,1
17,2721,2786,2668,2721,0.351652,0.753122,0,1
18,2859,2928,2786,2859,0.37741,0.679644,0,1
19,2983,3052,2928,2983,0.387097,0.770965,0,1
20,3106,3176,3052,3106,0.349449,0.773731,0,1
21,3312,3381,3203,3312,0.344499,0.64722,0,1
22,3439,3509,3381,3439,0.359915,0.749932,0,1
23,3573,3660,3509,3573,0.383575,0.607949,0,1
24,3752,3832,3660,3752,0.359875,0.620785,0,1
25,3898,3982,3832,3898,0.345239,0.526491,0,1
26,4075,4156,3982,4075,0.373788,0.599287,0,1
27,4231,4335,4156,4231,0.332428,0.618297,0,1
28,4416,4513,4335,4415,0.105904,0.247056,0,1
