rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,800,864,606,800,0.545864,1.21428,0,1
2,934,992,864,934,0.601712,1.55412,0,1
3,1059,1117,992,1059,0.613991,1.42882,0,1
4,1179,1239,1117,1179,0.633897,1.47866,0,1
5,1318,1375,1239,1318,0.488478,1.38815,0,1
6,1445,1504,1375,1445,0.564463,1.40488,0,1
7,1568,1633,1504,1568,0.551141,1.31218,0,1
8,1708,1784,1633,1708,0.463633,1.33889,0,1
9,1857,1913,1784,1857,0.523826,1.46657,0,1
10,1968,2045,1913,1968,0.636692,1.2071,0,1
11,2131,2205,2045,2131,0.424127,0.908738,0,1
12,2271,2341,2205,2271,0.498566,1.29845,0,1
13,2417,2475,2341,2417,0.486444,1.29285,0,1
14,2546,2612,2475,2546,0.506717,1.25764,0,1
15,2685,2752,2612,2685,0.495716,1.15854,0,1
16,2828,2889,2752,2828,0.515534,1.2368,0,1
17,2953,3030,2889,2953,0.520287,1.2337,0,1
18,3088,3167,3030,3088,0.455789,0.934584,0,1
19,3242,3309,3167,3242,0.479158,1.22067,0,1
20,3370,3434,3309,3370,0.463096,1.25289,0,1
21,3485,3556,3434,3485,0.443814,1.24377,0,1
22,3629,3692,3556,3629,0.430027,1.18707,0,1
23,3767,3828,3692,3767,0.462964,1.25779,0,1
24,3894,3997,3828,3894,0.399298,1.35331,0,1
25,4066,4130,3997,4066,0.452047,1.20126,0,1
26,4181,4243,4130,4181,0.456482,0.946439,0,1
27,4304,4364,4243,4304,0.462631,1.08053,0,1
28,4476,4582,4364,4476,0.425643,1.06506,0,1
29,4655,4746,4590,4655,0.494731,1.39545,0,1
30,4827,4889,4746,4827,0.430205,1.25577,0,1
31,-1,-1,4889,5324,0,0,0,0
