timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777901229.573967,-0.300859,0.107815,2.697000,373.731934,258.703949,0.603279,3.029738,0.856710,depth,1
1777901229.585094,-0.297522,0.106178,2.665000,373.694244,258.645966,0.607909,3.021614,0.868692,depth,1
1777901229.596222,-0.297735,0.106562,2.665000,373.659760,258.708038,0.607969,3.024619,0.868692,depth,1
1777901229.607350,-0.298310,0.106269,2.670000,373.657135,258.628571,0.608686,3.035824,0.869924,depth,1
1777901229.618477,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603188,3.025204,0.856710,depth,1
1777901229.629605,-0.299074,0.107176,2.681000,373.731934,258.703949,0.603729,3.052249,0.856710,depth,1
1777901229.640731,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603075,3.019530,0.856710,depth,1
1777901229.651859,-0.300097,0.106906,2.686000,373.657135,258.628571,0.608490,3.026037,0.869924,depth,1
1777901229.662987,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603183,3.024944,0.856710,depth,1
1777901229.674114,-0.300128,0.107279,2.686000,373.652161,258.688416,0.602969,2.998505,0.857497,depth,1
1777901229.685241,-0.298404,0.106936,2.675000,373.731934,258.703949,0.602839,3.007758,0.856710,depth,1
1777901229.696369,-0.299632,0.107376,2.686000,373.731934,258.703949,0.602962,3.013909,0.856710,depth,1
1777901229.707496,-0.299522,0.107201,2.681000,373.659760,258.708038,0.608019,3.027103,0.868692,depth,1
1777901229.718622,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603250,3.028278,0.856710,depth,1
1777901229.729750,-0.300768,0.107145,2.692000,373.657135,258.628571,0.607427,2.972858,0.869924,depth,1
1777901229.740878,-0.300301,0.107616,2.692000,373.731934,258.703949,0.603139,3.022738,0.856710,depth,1
1777901229.752005,-0.298404,0.106936,2.675000,373.731934,258.703949,0.602943,3.012936,0.856710,depth,1
1777901229.763133,-0.297289,0.106536,2.665000,373.731934,258.703949,0.602531,2.992326,0.856710,depth,1
