rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1389,1467,1467,1613,0.654791,1.24662,0,1
2,1613,1690,1690,1824,0.697302,1.27494,0,1
3,1824,1909,1909,2051,0.697109,1.37173,0,1
4,2051,2131,2131,2268,0.708829,1.29144,0,1
5,2268,2344,2344,2472,0.703203,1.36958,0,1
6,2472,2550,2550,2694,0.706971,1.35774,0,1
7,2694,2764,2764,2889,0.691026,1.42826,0,1
8,2889,2963,2963,3082,0.686073,1.49641,0,1
9,3082,3157,3157,3280,0.684754,1.60613,0,1
10,3280,3348,3348,3471,0.702945,1.57043,0,1
11,3471,3540,3540,3662,0.684304,1.52865,0,1
12,3662,3734,3734,3851,0.706893,1.43249,0,1
13,3851,3920,3920,4042,0.66943,1.42535,0,1
14,4042,4117,4117,4236,0.714921,1.39855,0,1
15,4236,4316,4316,4551,0.698834,1.20176,0,1
