rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,641,760,760,968,0.668817,1.23397,0,1
2,968,1072,1072,1192,0.692216,1.42578,0,1
3,1192,1310,1317,1431,0.682236,1.32079,0,1
4,1431,1536,1540,1651,0.707785,1.2425,0,1
5,1651,1760,1760,1875,0.733853,1.56864,0,1
6,1875,1971,1974,2095,0.652033,1.43164,0,1
7,2095,2174,2174,2322,0.705456,1.54281,0,1
8,2322,2421,2426,2525,0.7287,1.38532,0,1
9,2525,2596,2596,2725,0.699766,1.62029,0,1
10,2725,2813,2822,2929,0.704254,1.88951,0,1
11,2929,3019,-1,-1,0.680691,1.41796,0,0
