rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1303,1405,1405,1527,0.498815,0.754015,0,1
2,1527,1612,1612,1738,0.52674,1.05727,0,1
3,1738,1832,1832,1944,0.572723,1.02424,0,1
4,1944,2035,2035,2148,0.611466,1.13828,0,1
5,2148,2239,2239,2359,0.593277,1.08776,0,1
6,2359,2447,2447,2564,0.610196,1.15244,0,1
7,2564,2649,2649,2765,0.548643,1.05669,0,1
8,2765,2852,2852,2968,0.613345,1.14872,0,1
9,2968,3063,3063,3181,0.644076,1.12263,0,1
10,3181,3270,3270,3386,0.630096,1.12356,0,1
11,3386,3491,3491,3599,0.595143,1.10467,0,1
12,3599,3696,3699,3809,0.634128,1.16654,0,1
13,3809,3914,3918,4019,0.561375,1.02606,0,1
14,4019,4127,4132,4216,0.56263,0.969929,0,1
15,4216,4372,4372,4495,0.582865,1.04016,0,1
16,4495,4614,4614,4819,0.576501,0.916797,0,0
