rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,178,1389,1389,1477,0.627842,1.29693,0,1
2,1477,1561,1561,1686,0.625309,1.1082,0,1
3,1686,1762,1762,1884,0.627469,1.07279,0,1
4,1884,2002,2002,2092,0.617085,1.09943,0,1
5,2092,2175,2175,2298,0.625639,1.10538,0,1
6,2298,2380,2380,2502,0.618695,0.995799,0,1
7,2502,2583,2583,2698,0.637151,1.08722,0,1
8,2698,2783,2783,2896,0.635219,1.10164,0,1
9,2896,2981,2981,3095,0.623179,1.05699,0,1
10,3095,3180,3180,3289,0.61783,1.02367,0,1
11,3289,3378,3378,3495,0.627378,1.01806,0,1
12,3495,3582,3582,3721,0.636911,1.01025,0,1
