rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,945,1052,1052,1148,0.615904,1.08602,0,1
2,1148,1233,1233,1356,0.622631,1.17672,0,1
3,1356,1464,1464,1559,0.633842,1.1178,0,1
4,1563,1654,1654,1775,0.743992,1.22868,0,1
5,1775,1886,1886,1984,0.616395,1.0972,0,1
6,1984,2075,2075,2191,0.688518,1.2055,0,1
7,2191,2287,2287,2408,0.696593,1.06438,0,1
8,2408,2503,2503,2626,0.730605,1.14822,0,1
9,2626,2720,2720,2850,0.681954,1.13646,0,1
10,2851,2957,2957,3094,0.731463,0.934806,0,1
11,3094,3192,3192,3337,0.689685,1.01684,0,1
12,3337,3462,3462,3610,0.780651,0.904897,0,1
13,3610,3734,3734,3882,0.75522,0.894216,0,1
14,3888,4015,4015,4278,0.751703,1.0764,0,0
