rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,836,909,909,991,0.510891,1.24236,0,1
2,991,1063,1063,1147,0.521318,1.24523,0,1
3,1147,1214,1214,1298,0.551838,1.32664,0,1
4,1298,1365,1365,1453,0.562073,1.38237,0,1
5,1453,1519,1519,1607,0.581492,1.40633,0,1
6,1607,1673,1673,1756,0.619177,1.52422,0,1
7,1756,1838,1838,1910,0.612474,1.45866,0,1
8,1910,1975,1975,2064,0.600726,1.45377,0,1
9,2064,2133,2133,2214,0.567358,1.37732,0,1
10,2214,2284,2284,2357,0.524532,1.36575,0,1
11,2357,2422,2422,2505,0.55137,1.41509,0,1
12,2505,2571,2571,2659,0.600888,1.51133,0,1
13,2659,2725,2725,2819,0.566838,1.5,0,1
14,2819,2886,2886,2972,0.557125,1.49588,0,1
15,2972,3033,3033,3122,0.549631,1.50563,0,1
16,3122,3186,3186,3269,0.57901,1.41421,0,1
17,3269,3331,3331,3423,0.573174,1.48784,0,1
18,3423,3488,3488,3580,0.564884,1.41536,0,1
19,3580,3644,3644,3735,0.56051,1.42853,0,1
20,3735,3808,3816,3883,0.511337,1.3355,0,1
21,3883,3967,3967,4039,0.564961,1.3989,0,1
