rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1380,1434,1434,1529,0.440708,1.39919,0,1
2,1529,1584,1584,1665,0.417057,1.23987,0,1
3,1665,1715,1715,1788,0.400276,1.37455,0,1
4,1788,1841,1841,1912,0.433802,1.36454,0,1
5,1912,1968,1968,2036,0.465288,1.31923,0,1
6,2036,2090,2090,2156,0.408161,1.26749,0,1
7,2156,2210,2210,2276,0.431382,1.28866,0,1
8,2276,2332,2332,2399,0.456651,1.33474,0,1
9,2399,2453,2453,2518,0.435252,1.27322,0,1
10,2518,2572,2572,2638,0.455823,1.32434,0,1
11,2638,2690,2690,2750,0.418247,1.2645,0,1
12,2750,2805,2805,2867,0.440624,1.24817,0,1
13,2867,2921,2921,2985,0.404843,1.18255,0,1
14,2985,3040,3040,3106,0.416756,1.18329,0,1
15,3106,3162,3162,3224,0.454816,1.28228,0,1
16,3224,3280,3280,3349,0.406556,1.084,0,1
17,3349,3404,3404,3468,0.427375,1.2565,0,1
18,3468,3525,3525,3593,0.461616,1.25413,0,1
19,3593,3653,3653,3720,0.465571,1.06043,0,1
20,3720,3779,3779,3838,0.437839,1.2062,0,1
21,3838,3892,3892,3957,0.381988,1.08211,0,1
22,3957,4015,4015,4080,0.406949,1.07353,0,1
23,4080,4138,4138,4201,0.437935,1.11423,0,1
24,4201,4261,4261,4324,0.447358,1.09414,0,1
25,4324,4385,4385,4452,0.417153,0.974803,0,1
26,4452,4511,4511,4578,0.412555,1.07288,0,1
27,4578,4638,4638,4707,0.420907,1.08289,0,1
28,4707,4761,4761,4832,0.41225,1.18748,0,1
29,4832,4895,4895,4965,0.450186,1.07991,0,1
30,4965,5028,5028,5345,0.43846,1.02249,0,0
