frame_idx,t_s,measured,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,pos_sd_x,pos_sd_y,pos_sd_z,vel_sd_x,vel_sd_y,vel_sd_z,acc_sd_x,acc_sd_y,acc_sd_z,jerk_sd_x,jerk_sd_y,jerk_sd_z
10,0.111277255,1,-0.022186974,0.651909491,2.454830763,0.001364129,0.010274257,0.025875547,0.005900781,-0.310232338,-0.872668203,-0.714704292,2.551623058,6.519881866,0.000285132,0.000786002,0.004158772,0.005251402,0.010485132,0.039708335,0.114318654,0.204590965,0.744186987,4.284956928,6.078667867,10.118034721
11,0.122404981,1,-0.022171589,0.652005199,2.455066166,0.001387093,0.006980049,0.016568404,-0.001630420,-0.281862926,-0.800122147,-0.637565631,2.539048063,6.516656301,0.000280398,0.000765598,0.004153307,0.005066513,0.010514039,0.036750488,0.114228449,0.186256477,0.670594294,4.045980786,5.642386795,9.680763978
12,0.133532706,1,-0.022156396,0.652066000,2.455202493,0.001331192,0.003999721,0.008068040,-0.008259167,-0.253911335,-0.727692402,-0.552562314,2.476433316,6.498537729,0.000278209,0.000747020,0.004135190,0.004851275,0.010453730,0.034862570,0.114663919,0.176185634,0.604400081,3.901347064,5.268655494,9.249429862
13,0.144660432,1,-0.022142216,0.652095351,2.455248709,0.001206943,0.001325557,0.000372188,-0.013901021,-0.226922457,-0.655558166,-0.460265989,2.367221414,6.463207779,0.000277654,0.000731984,0.004103706,0.004646631,0.010290419,0.033793808,0.114374180,0.171887555,0.545927584,3.828582870,4.964071179,8.827676033
14,0.155788157,1,-0.022129746,0.652096588,2.455213744,0.001025780,-0.001055865,-0.006523546,-0.018474246,-0.201364785,-0.583921428,-0.360205202,2.221001295,6.408829424,0.000277765,0.000721205,0.004060396,0.004482187,0.010041967,0.033285491,0.113045714,0.170844720,0.495431191,3.801722280,4.730150634,8.419327534
15,0.166915883,1,-0.022119552,0.652072872,2.455106467,0.000800131,-0.003162563,-0.012625915,-0.021875134,-0.177599567,-0.513004763,-0.248667308,2.045921495,6.333415009,0.000277811,0.000714508,0.004008072,0.004371056,0.009740889,0.033108848,0.110886405,0.171077122,0.453036601,3.797803796,4.562823735,8.028279416
16,0.178043608,1,-0.022112053,0.652027142,2.454935657,0.000543860,-0.005016176,-0.017944281,-0.023947838,-0.155923180,-0.443054920,-0.120924593,1.846215508,6.234684391,0.000277405,0.000711107,0.003950116,0.004310423,0.009423602,0.033085535,0.108325465,0.171313760,0.418665605,3.800368493,4.453107011,7.658363701
17,0.189171334,1,-0.022107503,0.651962082,2.454709972,0.000272796,-0.006641395,-0.022490893,-0.024502231,-0.136588327,-0.374343629,0.023873785,1.625899251,6.110479172,0.000276471,0.000709923,0.003889991,0.004286909,0.009123304,0.033090630,0.105813451,0.170900116,0.391963814,3.799992450,4.388843598,7.313194816
18,0.200299059,1,-0.022105970,0.651880082,2.454437918,0.000004805,-0.008065406,-0.026281145,-0.023374582,-0.119780606,-0.307163452,0.179717706,1.394537067,5.959362268,0.000275145,0.000709870,0.003830893,0.004283685,0.008865205,0.033045552,0.103696795,0.169625268,0.372262605,3.793063030,4.356903312,6.995996667
19,0.211426785,1,-0.022107314,0.651783223,2.454127810,-0.000240954,-0.009316635,-0.029333751,-0.020510859,-0.105515404,-0.241815570,0.333183898,1.173349752,5.781255942,0.000273661,0.000710052,0.003775513,0.004286154,0.008663876,0.032907736,0.102156824,0.167561190,0.358604713,3.779912671,4.345125508,6.709419684
20,0.222554510,1,-0.022111180,0.651673276,2.453787737,-0.000445660,-0.010422177,-0.031670755,-0.016032721,-0.093525211,-0.178595740,0.466897465,0.990407290,5.577078250,0.000272255,0.000709856,0.003725893,0.004284791,0.008522838,0.032660809,0.101208170,0.164937406,0.349838336,3.762972943,4.343570920,6.455362777
21,0.233682236,1,-0.022117019,0.651551729,2.453425524,-0.000592935,-0.011404400,-0.033317426,-0.010257229,-0.083229573,-0.117787184,0.563722860,0.872926310,5.348085029,0.000271099,0.000708961,0.003683364,0.004275491,0.008436302,0.032306534,0.100742549,0.162048123,0.344751121,3.745269957,4.345028432,6.234821739
22,0.244809961,1,-0.022124119,0.651419868,2.453048698,-0.000670923,-0.012277655,-0.034302109,-0.003671869,-0.073783187,-0.059660119,0.610897907,0.839843203,5.095229516,0.000270275,0.000707301,0.003648547,0.004258446,0.008392379,0.031858629,0.100592905,0.159184707,0.342199138,3.729392486,4.344955119,6.047789323
23,0.255937687,1,-0.022131671,0.651278872,2.452664455,-0.000673841,-0.013045972,-0.034656112,0.003132059,-0.064199880,-0.004477930,0.602639104,0.897696159,4.818801121,0.000269777,0.000704997,0.003621427,0.004236448,0.008376721,0.031338113,0.100592288,0.156588918,0.341197226,3.716952770,4.341081375,5.893230061
24,0.267065412,1,-0.022138840,0.651129939,2.452279624,-0.000602697,-0.013702229,-0.034413666,0.009538925,-0.053481077,0.047496313,0.540327200,1.042475138,4.518596548,0.000269540,0.000702281,0.003601465,0.004213219,0.008375595,0.030769789,0.100612114,0.154425116,0.340961391,3.708477115,4.332869355,5.769143223
25,0.278193138,1,-0.022144837,0.650974404,2.451900638,-0.000465132,-0.014228630,-0.033611949,0.014982734,-0.040722930,0.095995524,0.431080370,1.261368662,4.194130523,0.000269470,0.000699426,0.003587737,0.004192118,0.008377897,0.030179547,0.100577076,0.152770701,0.340912432,3.703601994,4.320948354,5.672711673
26,0.289320863,1,-0.022148994,0.650813855,2.451533501,-0.000274562,-0.014598307,-0.032291147,0.018998814,-0.025217584,0.140745665,0.285789786,1.531542356,3.844613062,0.000269475,0.000696689,0.003579084,0.004175365,0.008376059,0.029592268,0.100461997,0.151622806,0.340656174,3.701424013,4.306599322,5.600517587
27,0.300448589,1,-0.022150817,0.650650216,2.451183749,-0.000048839,-0.014778121,-0.030494548,0.021258652,-0.006559491,0.181463105,0.117744918,1.822787288,3.469229355,0.000269484,0.000694274,0.003574246,0.004163797,0.008366075,0.029030186,0.100278365,0.150917017,0.339953464,3.700865416,4.291327742,5.548793748
28,0.311576314,1,-0.022150027,0.650485798,2.450856423,0.000191373,-0.014732335,-0.028268638,0.021586532,0.015310355,0.217857887,-0.059115653,2.103540725,3.067708953,0.000269455,0.000692305,0.003571986,0.004157053,0.008346981,0.028511677,0.100057490,0.150552029,0.338688270,3.700960313,4.276543822,5.513675611
29,0.322704040,1,-0.022146585,0.650323306,2.450556026,0.000424322,-0.014426501,-0.025663129,0.019963468,0.040102756,0.249641138,-0.230445624,2.343191370,2.640555952,0.000269375,0.000690833,0.003571172,0.004153993,0.008320048,0.028050448,0.099835190,0.150414125,0.336838092,3.701019916,4.263355056,5.491424370
30,0.333831765,1,-0.022140689,0.650165804,2.450286491,0.000628946,-0.013831219,-0.022730900,0.016533255,0.067207836,0.276535281,-0.381411902,2.515259809,2.189346452,0.000269252,0.000689834,0.003570844,0.004153189,0.008287907,0.027655143,0.099640839,0.150396966,0.334448217,3.700679598,4.252464804,5.478601912
31,0.344959491,1,-0.022132762,0.650016639,2.450051145,0.000786713,-0.012925404,-0.019527792,0.011608873,0.095749684,0.298286605,-0.496328911,2.598133049,1.716754028,0.000269106,0.000689239,0.003570241,0.004153314,0.008253727,0.027329386,0.099491733,0.150414538,0.331610014,3.699857748,4.244160865,5.472190219
32,0.356087216,1,-0.022123407,0.649879334,2.449852679,0.000883541,-0.011698976,-0.016112290,0.005673479,0.124634081,0.314676364,-0.561285603,2.574401097,1.226393037,0.000268960,0.000688946,0.003568821,0.004153399,0.008220558,0.027072206,0.099392288,0.150407191,0.328442884,3.698666153,4.238370837,5.469657342
33,0.367214942,1,-0.022113355,0.649757453,2.449693122,0.000911457,-0.010154976,-0.012545062,-0.000671113,0.152610858,0.325532165,-0.569433621,2.434169048,0.723032538,0.000268831,0.000688849,0.003566242,0.004152913,0.008190855,0.026878792,0.099336665,0.150341996,0.325079389,3.697308711,4.234757754,5.468977970
34,0.378342667,1,-0.022103383,0.649654446,2.449573815,0.000869444,-0.008310777,-0.008888377,-0.006791056,0.178371453,0.330741593,-0.521613934,2.176596437,0.212643713,0.000268731,0.000688848,0.003562352,0.004151721,0.008166231,0.026741456,0.099313034,0.150209174,0.321653120,3.695995162,4.232830450,5.468619046
35,0.389470393,1,-0.022094243,0.649573490,2.449495405,0.000763341,-0.006198203,-0.005205363,-0.012100849,0.200640873,0.330264161,-0.425770596,1.808456140,-0.297846916,0.000268662,0.000688863,0.003557158,0.004149970,0.008147387,0.026650679,0.099307914,0.150016319,0.318289041,3.694884107,4.232047795,5.467500868
36,0.400598118,1,-0.022086589,0.649517331,2.449457831,0.000604859,-0.003862686,-0.001559151,-0.016143400,0.218263559,0.324141347,-0.296836863,1.344701596,-0.800630866,0.000268623,0.000688840,0.003550788,0.004147950,0.008134217,0.026596124,0.099309523,0.149781874,0.315096130,3.694058185,4.231902678,5.464942747
37,0.411725844,1,-0.022080918,0.649488140,2.449460338,0.000409759,-0.001361397,0.001988091,-0.018658024,0.230303331,0.312506513,-0.154722191,0.809840621,-1.287022848,0.000268604,0.000688750,0.003543465,0.004145967,0.008125997,0.026567510,0.099309666,0.149528968,0.312162262,3.693526091,4.231978796,5.460600450
38,0.422853569,1,-0.022077541,0.649487403,2.449501486,0.000195416,0.001239748,0.005376228,-0.019616759,0.236134398,0.295592437,-0.020523537,0.233660999,-1.748002714,0.000268599,0.000688588,0.003535467,0.004144263,0.008121630,0.026555310,0.099304206,0.149280334,0.309551247,3.693241760,4.231979464,5.454400857
39,0.433981295,1,-0.022076579,0.649515839,2.449579186,-0.000021726,0.003869659,0.008548265,-0.019206580,0.235442863,0.273728959,0.089218441,-0.359144734,-2.175311144,0.000268600,0.000688362,0.003527100,0.004142970,0.008119884,0.026551234,0.099292484,0.149054712,0.307301947,3.693130400,4.231732032,5.446477764
40,0.445109020,1,-0.022077984,0.649573359,2.449690734,-0.000228161,0.006455108,0.011451363,-0.017753388,0.228144900,0.247331579,0.166257303,-0.951091152,-2.561752724,0.000268601,0.000688094,0.003518670,0.004142115,0.008119589,0.026548520,0.099276167,0.148864832,0.305429246,3.693112944,4.231174068,5.437111585
41,0.456236746,1,-0.022081581,0.649659063,2.449832866,-0.000414359,0.008922953,0.014037738,-0.015631600,0.214335399,0.216891622,0.209736629,-1.527006794,-2.900868087,0.000268598,0.000687808,0.003510459,0.004141639,0.008119774,0.026542052,0.099257972,0.148716844,0.303926570,3.693123717,4.230328260,5.426674852
42,0.467364471,1,-0.022087110,0.649771243,2.450001819,-0.000574885,0.011202032,0.016265457,-0.013193356,0.194274622,0.182968544,0.224315669,-2.072252557,-3.186875818,0.000268592,0.000687529,0.003502712,0.004141437,0.008119741,0.026528337,0.099240602,0.148610901,0.302769568,3.693119463,4.229272647,5.415584756
43,0.478492197,1,-0.022094273,0.649907419,2.450193398,-0.000707843,0.013224966,0.018099157,-0.010713837,0.168379824,0.146181739,0.218801637,-2.573465316,-3.414818299,0.000268583,0.000687276,0.003495625,0.004141392,0.008119079,0.026505383,0.099226046,0.148542485,0.301920456,3.693080497,4.228111583,5.404263488
44,0.489619922,1,-0.022102763,0.650064390,2.450403057,-0.000813825,0.014929829,0.019510655,-0.008366339,0.137214099,0.107201228,0.201671640,-3.017051796,-3.580495890,0.000268573,0.000687062,0.003489335,0.004141406,0.008117641,0.026472509,0.099215303,0.148504104,0.301332611,3.693006296,4.226951245,5.393106751
45,0.500747648,1,-0.022112292,0.650238305,2.450625974,-0.000894909,0.016261882,0.020479475,-0.006252345,0.101514609,0.066741109,0.177194501,-3.384895407,-3.680168642,0.000268562,0.000686895,0.003483925,0.004141408,0.008115481,0.026430114,0.099208420,0.148486988,0.300954965,3.692908378,4.225881870,5.382460423
46,0.511875373,1,-0.022122599,0.650424753,2.450857148,-0.000954119,0.017175790,0.020993306,-0.004446975,0.062238497,0.025553404,0.146191738,-3.656709754,-3.710875901,0.000268554,0.000686774,0.003479424,0.004141364,0.008112791,0.026379423,0.099204762,0.148482543,0.300735917,3.692802963,4.224967346,5.372605063
47,0.523003099,1,-0.022133460,0.650618883,2.451091487,-0.000995289,0.017638061,0.021048362,-0.003021219,0.020549734,-0.015584330,0.109225319,-3.816322990,-3.671061031,0.000268547,0.000686694,0.003475810,0.004141269,0.008109829,0.026322236,0.099203337,0.148483409,0.300626542,3.692705127,4.224241615,5.363747635
48,0.534130824,1,-0.022144699,0.650815546,2.451323904,-0.001022966,0.017629044,0.020649573,-0.002027562,-0.022238186,-0.055885953,0.069303954,-3.852776613,-3.560725631,0.000268542,0.000686648,0.003473024,0.004141136,0.008106856,0.026260695,0.099203118,0.148484076,0.300583001,3.692625287,4.223710537,5.356019588
49,0.545258550,1,-0.022156194,0.651009459,2.451549418,-0.001042025,0.017144295,0.019810584,-0.001465389,-0.064713138,-0.094573741,0.033063482,-3.759434842,-3.381396789,0.000268540,0.000686626,0.003470976,0.004140988,0.008104102,0.026197066,0.099203257,0.148481082,0.300568158,3.692567996,4.223357441,5.349480216
50,0.556386275,1,-0.022167875,0.651195376,2.451763246,-0.001056867,0.016195365,0.018553569,-0.001247625,-0.105426723,-0.130896752,0.008580000,-3.537087880,-3.136422980,0.000268539,0.000686619,0.003469556,0.004140846,0.008101730,0.026133561,0.099203201,0.148472880,0.300552433,3.692532552,4.223150564,5.344124133
51,0.567514001,1,-0.022179711,0.651368272,2.451960897,-0.001070474,0.014809703,0.016908807,-0.001213105,-0.142982722,-0.164151557,0.000516612,-3.193721538,-2.830933963,0.000268539,0.000686619,0.003468642,0.004140728,0.008099829,0.026072191,0.099202701,0.148459484,0.300514035,3.692514660,4.223050781,5.339891606
52,0.578641726,1,-0.022191698,0.651523508,2.452138260,-0.001083834,0.013029660,0.014914055,-0.001170003,-0.176114785,-0.193701601,0.010241405,-2.745691833,-2.471899177,0.000268539,0.000686620,0.003468110,0.004140641,0.008098421,0.026014660,0.099201754,0.148441991,0.300438649,3.692508398,4.223018426,5.336680576
53,0.589769452,1,-0.022203827,0.651656994,2.452291682,-0.001095742,0.010910433,0.012613678,-0.000919477,-0.203800531,-0.218999006,0.037555606,-2.219890918,-2.068203550,0.000268539,0.000686618,0.003467843,0.004140586,0.008097469,0.025962297,0.099200507,0.148422089,0.300318752,3.692507941,4.223018463,5.334359265
54,0.600897177,1,-0.022216067,0.651765307,2.452418034,-0.001102854,0.008516818,0.010057562,-0.000282187,-0.225341606,-0.239601456,0.078762095,-1.645975469,-1.629747941,0.000268539,0.000686611,0.003467734,0.004140556,0.008096896,0.025916021,0.099199168,0.148401623,0.300152647,3.692508712,4.223023700,5.332778459
55,0.612024903,1,-0.022228335,0.651845784,2.452514769,-0.001100145,0.005919621,0.007299895,0.000857995,-0.240348576,-0.255178239,0.126531837,-1.049293443,-1.166611669,0.000268538,0.000686599,0.003467691,0.004140545,0.008096607,0.025876346,0.099197928,0.148382251,0.299943344,3.692507895,4.223016104,5.331782713
56,0.623152628,1,-0.022240493,0.651896569,2.452579961,-0.001081796,0.003192513,0.004397921,0.002523578,-0.248686981,-0.265510638,0.171497959,-0.450508382,-0.688829985,0.000268537,0.000686582,0.003467639,0.004140543,0.008096503,0.025843403,0.099196919,0.148365233,0.299697377,3.692504390,4.222986530,5.331219982
57,0.634280354,1,-0.022252333,0.651916627,2.452612331,-0.001042348,0.000409481,0.001410703,0.004626103,-0.250424646,-0.270490380,0.203458352,0.134975699,-0.206162770,0.000268537,0.000686563,0.003467523,0.004140544,0.008096493,0.025816989,0.099196197,0.148351330,0.299423642,3.692498415,4.222933314,5.330949346
58,0.645408079,1,-0.022263598,0.651905743,2.452611262,-0.000977915,-0.002357096,-0.001602091,0.006976654,-0.245775774,-0.270115803,0.215399844,0.695526764,0.271954748,0.000268536,0.000686543,0.003467306,0.004140544,0.008096508,0.025796628,0.099195753,0.148340806,0.299132315,3.692490951,4.222860239,5.330846700
59,0.656535805,1,-0.022273998,0.651864488,2.452576800,-0.000887034,-0.005037904,-0.004581350,0.009339885,-0.235073321,-0.264488516,0.205947499,1.221611013,0.736440225,0.000268535,0.000686523,0.003466967,0.004140540,0.008096498,0.025781640,0.099195530,0.148333505,0.298833899,3.692483213,4.222774307,5.330808431
60,0.667663530,1,-0.022283245,0.651794182,2.452509640,-0.000770832,-0.007567892,-0.007469650,0.011495056,-0.218748861,-0.253808904,0.179043859,1.704346729,1.178583264,0.000268535,0.000686506,0.003466501,0.004140532,0.008096438,0.025771210,0.099195453,0.148328964,0.298538430,3.692476253,4.222683692,5.330753238
61,0.678791256,1,-0.022291072,0.651696843,2.452411100,-0.000632573,-0.009887390,-0.010212327,0.013284013,-0.197341503,-0.238372715,0.141165532,2.133256004,1.589972380,0.000268535,0.000686491,0.003465915,0.004140522,0.008096321,0.025764458,0.099195448,0.148326547,0.298254861,3.692470742,4.222596098,5.330622312
62,0.689918981,1,-0.022297258,0.651575112,2.452283089,-0.000476887,-0.011943433,-0.012758526,0.014617696,-0.171523742,-0.218567788,0.098179365,2.494243649,1.962434066,0.000268534,0.000686480,0.003465226,0.004140511,0.008096153,0.025760496,0.099195458,0.148325568,0.297990627,3.692466915,4.222517651,5.330378191
63,0.701046707,1,-0.022301640,0.651432180,2.452128054,-0.000309029,-0.013691506,-0.015062207,0.015474524,-0.142147517,-0.194871120,0.056685367,2.770062255,2.288229786,0.000268534,0.000686472,0.003464457,0.004140500,0.008095950,0.025758478,0.099195447,0.148325388,0.297751389,3.692464646,4.222452329,5.330002573
64,0.712174432,1,-0.022304110,0.651271672,2.451948923,-0.000134064,-0.015097585,-0.017083093,0.015910207,-0.110238344,-0.167839404,0.023427512,2.948227365,2.560925369,0.000268534,0.000686467,0.003463635,0.004140492,0.008095733,0.025757643,0.099195401,0.148325484,0.297540933,3.692463573,4.222401864,5.329493437
65,0.723302158,1,-0.022304612,0.651097528,2.451749037,0.000043926,-0.016139628,-0.018787465,0.016040718,-0.076903741,-0.138090555,0.002102494,3.026991912,2.776005756,0.000268534,0.000686465,0.003462788,0.004140486,0.008095519,0.025757338,0.099195324,0.148325482,0.297361209,3.692463252,4.222366003,5.328861747
66,0.734429883,1,-0.022303131,0.650913865,2.451532073,0.000222296,-0.016807767,-0.020148714,0.015999433,-0.043200014,-0.106280746,-0.007956845,3.017435941,2.931137718,0.000268534,0.000686463,0.003461944,0.004140483,0.008095326,0.025757036,0.099195229,0.148325166,0.297212485,3.692463267,4.222342995,5.328128016
67,0.745557609,1,-0.022299669,0.650724848,2.451301963,0.000399739,-0.017102974,-0.021147635,0.015884514,-0.010003221,-0.073080898,-0.012548501,2.939441533,3.025882722,0.000268534,0.000686463,0.003461127,0.004140481,0.008095162,0.025756341,0.099195130,0.148324454,0.297093576,3.692463309,4.222330166,5.327318966
68,0.756685334,1,-0.022294240,0.650534580,2.451062811,0.000575579,-0.017034694,-0.021772488,0.015702192,0.022041318,-0.039159595,-0.022016786,2.813549893,3.061013872,0.000268534,0.000686463,0.003460359,0.004140480,0.008095034,0.025754988,0.099195042,0.148323374,0.297002129,3.692463203,4.222324484,5.326464444
69,0.767813060,1,-0.022286869,0.650347025,2.450818811,0.000748525,-0.016618334,-0.022018905,0.015334481,0.052501184,-0.005171654,-0.047508101,2.657157541,3.038202805,0.000268534,0.000686463,0.003459656,0.004140480,0.008094942,0.025752829,0.099194972,0.148322025,0.296934935,3.692462895,4.222323028,5.325594744
70,0.778940785,1,-0.022277604,0.650165951,2.450574165,0.000915351,-0.015873138,-0.021889687,0.014560381,0.081108759,0.028250600,-0.095521081,2.481994628,2.959769308,0.000268534,0.000686463,0.003459031,0.004140480,0.008094881,0.025749822,0.099194924,0.148320537,0.296888236,3.692462418,4.222323327,5.324738413
71,0.790068511,1,-0.022266542,0.649994901,2.450333004,0.001070124,-0.014820744,-0.021394517,0.013127801,0.107689228,0.060503459,-0.165077042,2.293153478,2.828537866,0.000268534,0.000686462,0.003458489,0.004140480,0.008094847,0.025746009,0.099194896,0.148319045,0.296858025,3.692461852,4.222323548,5.323920585
72,0.801196236,1,-0.022253864,0.649837162,2.450099318,0.001204314,-0.013484554,-0.020549612,0.010836104,0.132086959,0.091017012,-0.248084785,2.088717291,2.647716992,0.000268534,0.000686461,0.003458033,0.004140480,0.008094831,0.025741499,0.099194883,0.148317666,0.296840295,3.692461287,4.222322552,5.323161838
73,0.812323962,1,-0.022239854,0.649695754,2.449876879,0.001307773,-0.011889975,-0.019377325,0.007601998,0.154084573,0.119258600,-0.332301055,1.859867960,2.420810018,0.000268534,0.000686460,0.003457662,0.004140479,0.008094826,0.025736446,0.099194879,0.148316480,0.296831264,3.692460795,4.222319840,5.322477556
74,0.823451687,1,-0.022224911,0.649573399,2.449669178,0.001370205,-0.010065485,-0.017905714,0.003484244,0.173339599,0.144736717,-0.404859779,1.593350166,2.151725631,0.000268534,0.000686459,0.003457370,0.004140479,0.008094826,0.025731031,0.099194879,0.148315534,0.296827532,3.692460417,4.222315427,5.321877741
75,0.834579413,1,-0.022209545,0.649472473,2.449479366,0.001382729,-0.008044234,-0.016168052,-0.001328541,0.189351957,0.167006267,-0.456109202,1.274876664,1.844940983,0.000268534,0.000686457,0.003457149,0.004140478,0.008094827,0.025725444,0.099194879,0.148314835,0.296826202,3.692460163,4.222309685,5.321367194
76,0.845707138,1,-0.022194347,0.649394955,2.449310197,0.001339037,-0.005865758,-0.014202272,-0.006572320,0.201484156,0.185676847,-0.482020694,0.895199587,1.505887104,0.000268534,0.000686456,0.003456989,0.004140477,0.008094825,0.025719869,0.099194878,0.148314366,0.296824942,3.692460020,4.222303174,5.320945998
77,0.856834864,1,-0.022179964,0.649342338,2.449163979,0.001235931,-0.003577055,-0.012050287,-0.011958155,0.209051427,0.200425638,-0.481496933,0.455543725,1.141303907,0.000268534,0.000686454,0.003456881,0.004140476,0.008094819,0.025714474,0.099194874,0.148314086,0.296822009,3.692459957,4.222296499,5.320610216
78,0.867962589,1,-0.022167061,0.649315554,2.449042536,0.001073490,-0.001232461,-0.009757162,-0.017185239,0.211437432,0.211011239,-0.453237211,-0.033767140,0.758995712,0.000268534,0.000686453,0.003456812,0.004140476,0.008094809,0.025709401,0.099194868,0.148313947,0.296816230,3.692459942,4.222290203,5.320352714
79,0.879090315,1,-0.022156281,0.649314893,2.448947178,0.000855215,0.001107617,-0.007370149,-0.021941207,0.208179890,0.217283444,-0.397069940,-0.555218717,0.367545719,0.000268534,0.000686453,0.003456774,0.004140476,0.008094796,0.025704761,0.099194861,0.148313898,0.296806962,3.692459945,4.222284692,5.320164046
80,0.890218040,1,-0.022148210,0.649339949,2.448878679,0.000588031,0.003378858,-0.004937623,-0.025929741,0.199049864,0.219191253,-0.316077651,-1.084874910,-0.023864141,0.000268534,0.000686452,0.003456755,0.004140476,0.008094780,0.025700633,0.099194853,0.148313895,0.296794016,3.692459947,4.222280208,5.320033329
81,0.901345766,1,-0.022143339,0.649389593,2.448837278,0.000281902,0.005515966,-0.002507954,-0.028906083,0.184108769,0.216787505,-0.216387760,-1.594678233,-0.405792811,0.000268534,0.000686452,0.003456748,0.004140476,0.008094764,0.025697061,0.099194847,0.148313903,0.296777583,3.692459935,4.222276829,5.319949059
82,0.912473491,1,-0.022142035,0.649461978,2.448822678,-0.000050909,0.007456133,-0.000128338,-0.030705094,0.163747022,0.210230239,-0.105737343,-2.054127928,-0.768857505,0.000268534,0.000686452,0.003456745,0.004140476,0.008094749,0.025694062,0.099194842,0.148313896,0.296758137,3.692459909,4.222274499,5.319899827
83,0.923601217,1,-0.022144520,0.649554591,2.448834069,-0.000396768,0.009142734,0.002156356,-0.031242843,0.138675962,0.199777838,0.009361064,-2.437612542,-1.104573819,0.000268534,0.000686452,0.003456742,0.004140476,0.008094735,0.025691621,0.099194839,0.148313864,0.296736352,3.692459871,4.222273062,5.319874908
84,0.934728942,1,-0.022150861,0.649664336,2.448870162,-0.000741486,0.010528469,0.004304632,-0.030503432,0.109847535,0.185775879,0.122628984,-2.726613801,-1.405694479,0.000268534,0.000686452,0.003456733,0.004140476,0.008094724,0.025689704,0.099194837,0.148313802,0.296713016,3.692459829,4.222272307,5.319864716
