rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1094,1169,726,1094,0.408443,1.13306,0,0
2,1287,1341,1169,1287,0.508175,1.51392,0,1
3,1435,1495,1360,1435,0.428971,1.14659,0,1
4,1572,1626,1495,1572,0.428748,1.15432,0,1
5,1713,1771,1651,1713,0.447573,1.10023,0,1
6,1857,1915,1771,1857,0.472389,1.16199,0,1
7,2008,2065,1915,2008,0.438113,1.26232,0,1
8,2149,2206,2065,2149,0.414979,1.05361,0,1
9,2288,2370,2206,2288,0.333201,0.774754,0,1
10,2428,2487,2375,2428,0.376459,0.995447,0,1
11,2560,2619,2487,2560,0.359905,0.882247,0,1
12,2723,2771,2672,2723,0.351522,1.14366,0,1
13,2911,2964,2807,2911,0.321722,0.858238,0,1
14,3061,3109,2989,3061,0.273964,0.907135,0,1
15,3199,3254,3142,3199,0.301066,0.900372,0,1
16,3339,3419,3284,3339,0.368448,0.868317,0,1
17,3473,3525,3427,3473,0.290503,0.868293,0,1
18,3598,3649,3546,3598,0.341943,1.05838,0,1
19,3720,3773,3649,3720,0.366847,1.12373,0,1
20,3847,3897,3773,3847,0.330717,1.1616,0,1
21,3980,4033,3897,3980,0.329486,1.00669,0,1
22,4098,4153,4033,4098,0.373207,1.07695,0,1
23,4223,4294,4153,4223,0.393482,0.957282,0,1
24,4368,4424,4294,4368,0.360654,0.957484,0,1
25,4510,4581,4447,4510,0.350991,1.15164,0,1
26,4660,4745,4581,4660,0.445672,0.914031,0,1
27,4833,4892,4754,4833,0.34939,0.905499,0,1
28,4976,5032,4912,4976,0.306633,0.843202,0,1
29,5117,5231,5032,5117,0.390105,0.823343,0,1
30,5349,5408,5237,5349,0.427201,1.15547,0,1
31,-1,-1,5818,6071,0,0,0,0
