rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,684,788,864,957,0.577423,1.23369,0,1
2,997,1119,1132,1233,0.587273,1.27053,0,1
3,1262,1351,1390,1500,0.589593,1.41885,0,1
4,1500,1613,1655,1769,0.587882,1.38973,0,1
5,1769,1900,1910,2053,0.572552,1.17173,0,1
6,2053,2162,2234,2340,0.570647,1.35855,0,1
7,2348,2462,2533,2654,0.579099,1.01735,0,1
8,2654,2746,2776,2939,0.575005,1.32585,0,1
9,2939,3051,3086,3214,0.606443,1.31047,0,1
10,3230,3332,3341,3495,0.592729,1.30254,0,1
11,3507,3666,3672,3799,0.57237,1.12876,0,1
