recv_pkts,recv_rate_pkt,recv_bytes,fwd_bytes,overruns
1271,123.6,264368,264160,0
1888,123.4,392704,392704,0
2505,123.4,521040,521040,0
3123,123.6,649584,649584,0
3740,123.4,777920,777920,0
