t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
0.213,0,1777536100997.204,0.000,0
0.222,1,1777536101008.388,11.185,0
0.233,2,1777536101019.576,11.188,0
0.244,3,1777536101030.768,11.192,0
0.255,4,1777536101041.961,11.194,0
0.267,5,1777536101053.158,11.197,0
0.278,6,1777536101064.359,11.201,0
0.288,7,1777536101075.503,11.145,0
0.299,8,1777536101086.645,11.142,0
0.311,9,1777536101097.786,11.141,0
0.322,10,1777536101108.923,11.137,0
0.344,12,1777536101131.191,22.268,1
0.355,13,1777536101142.321,11.130,1
0.366,14,1777536101153.449,11.128,1
0.377,15,1777536101164.575,11.126,1
0.388,16,1777536101175.669,11.094,1
0.400,17,1777536101186.761,11.092,1
0.411,18,1777536101197.853,11.092,1
0.422,19,1777536101208.942,11.090,1
0.433,20,1777536101220.031,11.088,1
0.444,21,1777536101231.118,11.088,1
0.455,22,1777536101242.204,11.086,1
0.466,23,1777536101253.288,11.084,1
0.477,24,1777536101264.372,11.084,1
0.489,25,1777536101275.469,11.097,1
0.500,26,1777536101286.565,11.096,1
0.511,27,1777536101297.662,11.097,1
0.522,28,1777536101308.757,11.095,1
0.534,29,1777536101319.852,11.095,1
0.544,30,1777536101330.946,11.094,1
0.555,31,1777536101342.040,11.094,1
0.567,32,1777536101353.133,11.093,1
0.578,33,1777536101364.225,11.092,1
0.589,34,1777536101375.323,11.098,1
0.600,35,1777536101386.419,11.096,1
0.611,36,1777536101397.514,11.096,1
0.622,37,1777536101408.610,11.096,1
0.634,38,1777536101419.705,11.095,1
0.645,39,1777536101430.799,11.094,1
0.656,40,1777536101441.893,11.094,1
0.667,41,1777536101452.986,11.093,1
0.678,42,1777536101464.078,11.092,1
0.689,43,1777536101475.178,11.100,1
0.700,44,1777536101486.277,11.098,1
0.711,45,1777536101497.375,11.098,1
0.722,46,1777536101508.474,11.099,1
0.733,47,1777536101519.571,11.097,1
0.745,48,1777536101530.668,11.097,1
0.756,49,1777536101541.765,11.097,1
0.767,50,1777536101552.862,11.096,1
0.778,51,1777536101563.957,11.096,1
0.790,52,1777536101575.058,11.101,1
0.800,53,1777536101586.158,11.100,1
0.812,54,1777536101597.258,11.099,1
0.823,55,1777536101608.357,11.100,1
0.834,56,1777536101619.456,11.099,1
0.845,57,1777536101630.554,11.098,1
0.856,58,1777536101641.654,11.099,1
0.867,59,1777536101652.751,11.098,1
0.878,60,1777536101663.848,11.097,1
0.889,61,1777536101674.951,11.102,1
0.901,62,1777536101686.052,11.101,1
0.912,63,1777536101697.152,11.101,1
0.923,64,1777536101708.253,11.101,1
0.934,65,1777536101719.354,11.100,1
0.945,66,1777536101730.453,11.100,1
0.956,67,1777536101741.553,11.100,1
0.967,68,1777536101752.653,11.099,1
0.978,69,1777536101763.751,11.099,1
0.990,70,1777536101774.854,11.103,1
1.001,71,1777536101785.957,11.103,1
1.012,72,1777536101797.059,11.102,1
1.023,73,1777536101808.161,11.102,1
1.034,74,1777536101819.263,11.102,1
1.045,75,1777536101830.365,11.101,1
1.056,76,1777536101841.465,11.101,1
1.068,77,1777536101852.567,11.102,1
1.078,78,1777536101863.667,11.100,1
1.090,79,1777536101874.771,11.104,1
1.101,80,1777536101885.875,11.104,1
1.112,81,1777536101896.978,11.103,1
1.123,82,1777536101908.081,11.103,1
1.134,83,1777536101919.185,11.104,1
1.145,84,1777536101930.287,11.103,1
1.156,85,1777536101941.389,11.102,1
1.168,86,1777536101952.492,11.103,1
1.179,87,1777536101963.594,11.102,1
1.190,88,1777536101974.699,11.105,1
1.201,89,1777536101985.805,11.106,1
1.212,90,1777536101996.909,11.104,1
1.223,91,1777536102008.013,11.104,1
1.234,92,1777536102019.118,11.105,1
1.246,93,1777536102030.222,11.104,1
1.256,94,1777536102041.326,11.104,1
1.268,95,1777536102052.430,11.104,1
1.279,96,1777536102063.533,11.103,1
1.290,97,1777536102074.639,11.106,1
1.301,98,1777536102085.746,11.107,1
1.313,99,1777536102096.852,11.105,1
1.323,100,1777536102107.957,11.105,1
1.334,101,1777536102119.063,11.106,1
1.345,102,1777536102130.168,11.105,1
1.357,103,1777536102141.273,11.105,1
1.368,104,1777536102152.379,11.105,1
1.379,105,1777536102163.483,11.104,1
1.390,106,1777536102174.590,11.107,1
1.401,107,1777536102185.698,11.108,1
1.412,108,1777536102196.805,11.107,1
1.424,109,1777536102207.912,11.107,1
1.435,110,1777536102219.019,11.106,1
1.446,111,1777536102230.126,11.107,1
1.457,112,1777536102241.232,11.106,1
1.468,113,1777536102252.338,11.106,1
1.479,114,1777536102263.445,11.107,1
1.490,115,1777536102274.553,11.108,1
1.501,116,1777536102285.662,11.108,1
1.513,117,1777536102296.771,11.109,1
1.523,118,1777536102307.879,11.108,1
1.535,119,1777536102318.986,11.108,1
1.546,120,1777536102330.095,11.109,1
1.557,121,1777536102341.202,11.107,1
1.568,122,1777536102352.310,11.107,1
1.579,123,1777536102363.418,11.108,1
1.590,124,1777536102374.525,11.107,1
1.602,125,1777536102385.632,11.107,1
1.612,126,1777536102396.740,11.108,1
1.624,127,1777536102407.846,11.106,1
1.635,128,1777536102418.952,11.106,1
1.646,129,1777536102430.059,11.107,1
1.657,130,1777536102441.166,11.106,1
1.668,131,1777536102452.271,11.106,1
1.679,132,1777536102463.378,11.107,1
1.690,133,1777536102474.484,11.106,1
1.702,134,1777536102485.589,11.105,1
1.713,135,1777536102496.695,11.106,1
1.724,136,1777536102507.800,11.105,1
1.735,137,1777536102518.905,11.105,1
1.746,138,1777536102530.011,11.106,1
1.757,139,1777536102541.115,11.104,1
1.768,140,1777536102552.220,11.104,1
1.779,141,1777536102563.325,11.105,1
1.791,142,1777536102574.429,11.104,1
1.802,143,1777536102585.533,11.104,1
1.813,144,1777536102596.638,11.105,1
1.824,145,1777536102607.742,11.104,1
1.835,146,1777536102618.845,11.104,1
1.847,147,1777536102629.949,11.104,1
1.857,148,1777536102641.053,11.103,1
1.869,149,1777536102652.156,11.103,1
1.879,150,1777536102663.259,11.103,1
1.891,151,1777536102674.362,11.104,1
1.902,152,1777536102685.465,11.103,1
1.913,153,1777536102696.567,11.103,1
1.924,154,1777536102707.670,11.103,1
1.935,155,1777536102718.772,11.102,1
1.946,156,1777536102729.874,11.102,1
1.957,157,1777536102740.977,11.103,1
1.969,158,1777536102752.078,11.102,1
1.980,159,1777536102763.180,11.102,1
1.991,160,1777536102774.282,11.102,1
2.002,161,1777536102785.383,11.101,1
2.013,162,1777536102796.484,11.101,1
2.024,163,1777536102807.586,11.102,1
2.035,164,1777536102818.687,11.101,1
2.046,165,1777536102829.787,11.100,1
2.058,166,1777536102840.888,11.101,1
2.069,167,1777536102851.988,11.100,1
2.080,168,1777536102863.088,11.100,1
2.091,169,1777536102874.189,11.101,1
2.102,170,1777536102885.289,11.100,1
2.113,171,1777536102896.388,11.100,1
2.124,172,1777536102907.489,11.100,1
2.135,173,1777536102918.588,11.099,1
2.147,174,1777536102929.687,11.099,1
2.158,175,1777536102940.787,11.100,1
2.169,176,1777536102951.885,11.099,1
2.180,177,1777536102962.984,11.098,1
2.191,178,1777536102974.083,11.099,1
2.202,179,1777536102985.182,11.098,1
2.213,180,1777536102996.280,11.098,1
2.224,181,1777536103007.379,11.099,1
2.236,182,1777536103018.476,11.098,1
2.247,183,1777536103029.574,11.098,1
2.258,184,1777536103040.672,11.098,1
2.269,185,1777536103051.770,11.097,1
2.281,186,1777536103062.867,11.097,1
2.291,187,1777536103073.965,11.098,1
2.302,188,1777536103085.062,11.097,1
2.313,189,1777536103096.158,11.097,1
2.325,190,1777536103107.255,11.096,1
2.336,191,1777536103118.352,11.097,1
2.347,192,1777536103129.448,11.096,1
2.358,193,1777536103140.544,11.096,1
2.369,194,1777536103151.641,11.097,1
2.380,195,1777536103162.737,11.096,1
2.392,196,1777536103173.832,11.095,1
2.402,197,1777536103184.928,11.096,1
2.414,198,1777536103196.024,11.095,1
2.425,199,1777536103207.119,11.095,1
2.436,200,1777536103218.215,11.096,1
2.447,201,1777536103229.309,11.095,1
2.459,202,1777536103240.404,11.094,1
2.470,203,1777536103251.499,11.095,1
2.480,204,1777536103262.598,11.099,1
2.491,205,1777536103273.724,11.126,1
2.503,206,1777536103284.852,11.127,1
2.514,207,1777536103295.978,11.126,1
2.525,208,1777536103307.104,11.126,1
2.536,209,1777536103318.231,11.127,1
2.547,210,1777536103329.358,11.126,1
2.559,211,1777536103340.484,11.126,1
2.569,212,1777536103351.611,11.127,1
2.581,213,1777536103362.738,11.126,1
2.592,214,1777536103373.864,11.126,1
2.603,215,1777536103384.991,11.127,1
2.614,216,1777536103396.118,11.126,1
2.625,217,1777536103407.244,11.126,1
2.636,218,1777536103418.372,11.127,1
2.648,219,1777536103429.498,11.126,1
2.658,220,1777536103440.625,11.126,1
2.670,221,1777536103451.752,11.127,1
2.681,222,1777536103462.878,11.126,1
2.692,223,1777536103474.005,11.126,1
2.703,224,1777536103485.132,11.127,1
2.714,225,1777536103496.259,11.126,1
2.725,226,1777536103507.385,11.126,1
2.736,227,1777536103518.513,11.128,1
2.748,228,1777536103529.639,11.126,1
2.759,229,1777536103540.766,11.126,1
2.770,230,1777536103551.892,11.126,1
2.781,231,1777536103563.020,11.128,1
2.792,232,1777536103574.146,11.126,1
