rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,245,317,317,377,0.479231,1.10831,0,0
2,377,423,423,473,0.416423,1.54401,0,1
3,473,524,524,591,0.401446,1.24546,0,1
4,591,646,646,709,0.37845,1.06612,0,1
5,709,763,763,826,0.385751,1.26628,0,1
6,826,876,876,938,0.404158,1.38953,0,1
7,938,989,989,1049,0.410149,1.37324,0,1
8,1049,1102,1102,1164,0.382854,1.21714,0,1
9,1164,1217,1217,1280,0.366106,1.16724,0,1
10,1280,1334,1334,1402,0.380228,1.16356,0,1
11,1407,1456,1456,1512,0.417359,1.23783,0,1
12,1512,1573,1573,1638,0.386879,1.09441,0,1
13,1642,1694,1694,1757,0.431823,1.31102,0,1
14,1757,1815,1815,1989,0.413003,1.14719,0,0
