rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,779,847,847,927,0.468555,1.34438,0,1
2,927,993,993,1067,0.473513,1.16301,0,1
3,1067,1154,1154,1241,0.463878,1.10657,0,1
4,1241,1309,1309,1405,0.444085,1.08847,0,1
5,1405,1489,1489,1600,0.488583,1.08371,0,1
6,1604,1672,1672,1772,0.478398,1.0658,0,1
7,1772,1850,1850,1949,0.513191,1.05327,0,1
8,1949,2020,2020,2133,0.447171,0.954939,0,1
9,2133,2214,2214,2318,0.543509,1.16477,0,1
10,2318,2393,2393,2490,0.49912,1.17273,0,1
11,2490,2562,2562,2770,0.489218,1.01404,0,0
