recv_pkts,recv_rate_pkt,recv_bytes,fwd_bytes,overruns
1270,123.4,264160,264160,0
1888,123.6,392704,392704,0
2505,123.4,521040,521040,0
3123,123.6,649584,649584,0
3739,123.2,777712,777712,0
4357,123.6,906256,906256,0
4975,123.4,1034800,1034800,0
5592,123.4,1163136,1163136,0
6210,123.6,1291680,1291680,0
6827,123.4,1420016,1420016,0
7445,123.6,1548560,1548560,0
8062,123.4,1676896,1676896,0
8680,123.6,1805440,1805440,0
