t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
0.215,0,1777461423390.264,0.000,0
0.224,1,1777461423401.411,11.147,0
0.235,2,1777461423412.560,11.149,0
0.246,3,1777461423423.709,11.149,0
0.257,4,1777461423434.860,11.150,0
0.268,5,1777461423445.956,11.096,0
0.279,6,1777461423457.051,11.095,0
0.290,7,1777461423468.146,11.095,0
0.301,8,1777461423479.242,11.096,0
0.313,9,1777461423490.336,11.094,0
0.323,10,1777461423501.431,11.094,0
0.334,11,1777461423512.526,11.095,0
0.346,12,1777461423523.620,11.094,0
0.357,13,1777461423534.713,11.094,0
0.368,14,1777461423545.810,11.097,0
0.379,15,1777461423556.905,11.095,0
0.390,16,1777461423568.000,11.095,0
0.401,17,1777461423579.096,11.095,0
0.412,18,1777461423590.190,11.094,0
0.424,19,1777461423601.284,11.094,0
0.435,20,1777461423612.378,11.094,0
0.446,21,1777461423623.471,11.093,0
0.457,22,1777461423634.564,11.093,0
0.468,23,1777461423645.661,11.098,0
0.479,24,1777461423656.758,11.096,0
0.490,25,1777461423667.854,11.096,0
0.502,26,1777461423678.951,11.097,0
0.513,27,1777461423690.046,11.095,0
0.524,28,1777461423701.141,11.095,0
0.535,29,1777461423712.237,11.096,0
0.546,30,1777461423723.332,11.094,0
0.557,31,1777461423734.426,11.094,0
0.568,32,1777461423745.525,11.100,0
0.579,33,1777461423756.623,11.098,0
0.590,34,1777461423767.721,11.098,0
0.602,35,1777461423778.819,11.098,0
0.613,36,1777461423789.917,11.098,0
0.624,37,1777461423801.015,11.097,0
0.635,38,1777461423812.112,11.097,0
0.646,39,1777461423823.209,11.098,0
0.657,40,1777461423834.305,11.096,0
0.668,41,1777461423845.405,11.100,0
0.679,42,1777461423856.506,11.101,0
0.690,43,1777461423867.605,11.099,0
0.702,44,1777461423878.704,11.099,0
0.713,45,1777461423889.804,11.100,0
0.724,46,1777461423900.903,11.099,0
0.735,47,1777461423912.001,11.098,0
0.746,48,1777461423923.100,11.099,0
0.757,49,1777461423934.198,11.098,0
0.768,50,1777461423945.299,11.101,0
0.780,51,1777461423956.401,11.102,0
0.791,52,1777461423967.502,11.101,0
0.802,53,1777461423978.603,11.101,0
0.813,54,1777461423989.705,11.102,0
0.824,55,1777461424000.805,11.100,0
0.835,56,1777461424011.905,11.100,0
0.846,57,1777461424023.006,11.101,0
0.857,58,1777461424034.105,11.100,0
0.868,59,1777461424045.208,11.103,0
0.880,60,1777461424056.312,11.104,0
0.891,61,1777461424067.415,11.103,0
0.902,62,1777461424078.517,11.103,0
0.913,63,1777461424089.621,11.104,0
0.924,64,1777461424100.723,11.102,0
0.935,65,1777461424111.825,11.102,0
0.946,66,1777461424122.928,11.103,0
0.958,67,1777461424134.029,11.102,0
0.969,68,1777461424145.134,11.105,0
0.980,69,1777461424156.240,11.106,0
0.991,70,1777461424167.344,11.104,0
1.002,71,1777461424178.448,11.104,0
1.013,72,1777461424189.554,11.105,0
1.024,73,1777461424200.658,11.104,0
1.036,74,1777461424211.761,11.104,0
1.047,75,1777461424222.865,11.104,0
1.058,76,1777461424233.970,11.104,0
1.069,77,1777461424245.076,11.106,0
1.080,78,1777461424256.182,11.106,0
1.091,79,1777461424267.290,11.107,0
1.102,80,1777461424278.396,11.106,0
1.113,81,1777461424289.501,11.106,0
1.124,82,1777461424300.608,11.107,0
1.136,83,1777461424311.714,11.106,0
1.147,84,1777461424322.819,11.105,0
1.158,85,1777461424333.926,11.106,0
1.169,86,1777461424345.033,11.107,0
1.180,87,1777461424356.141,11.108,0
1.191,88,1777461424367.249,11.108,0
1.202,89,1777461424378.356,11.107,0
1.214,90,1777461424389.464,11.107,0
1.225,91,1777461424400.572,11.108,0
1.236,92,1777461424411.678,11.107,0
1.247,93,1777461424422.785,11.107,0
1.258,94,1777461424433.893,11.108,0
1.269,95,1777461424445.002,11.109,0
1.280,96,1777461424456.111,11.109,0
1.291,97,1777461424467.221,11.110,0
1.303,98,1777461424478.330,11.109,0
1.314,99,1777461424489.438,11.109,0
1.325,100,1777461424500.548,11.109,0
1.336,101,1777461424511.656,11.109,0
1.347,102,1777461424522.764,11.108,0
1.359,103,1777461424533.874,11.109,0
1.369,104,1777461424544.984,11.110,0
1.380,105,1777461424556.094,11.110,0
1.392,106,1777461424567.206,11.111,0
1.403,107,1777461424578.316,11.110,0
1.414,108,1777461424589.426,11.110,0
1.425,109,1777461424600.537,11.111,0
1.436,110,1777461424611.647,11.110,0
1.447,111,1777461424622.757,11.110,0
1.458,112,1777461424633.867,11.111,0
